JINA_ID,Ref,Name,Simbad_Identifier,NLTE,I_mag,Teff,logg,Mg/H,C/Mg
2036,YON13,HE0945-1435,HE_0945-1435,*,,6344,3.71,'-3.88,<1.81
2037,YON13,HE1055+0104,HE_1055+0104,*,,6287,3.79,'-2.66,<0.99
2038,YON13,HE1116-0054,HE_1116-0054,*,,6454,3.8,'-3.42,<1.65
2040,YON13,HE1201-1512,HE_1201-1512,*,,5725,3.39,'-3.66,0.94
2041,YON13,HE1204-0744,HE_1204-0744,*,,6500,4.3,'-2.78,<1.61
2043,HAN15,HE1241-2907,HE_1241-2907,*,,6900,3.8,'-2.82,<1.82
2044,COH13,HE1245-0215,HE_1245-0215,*,,6500,3.8,'-2.55,1.48
2048,FRE08,HE1327-2326,HE_1327-2326,*,12.803,6180,3.7,'-4.06,2.53
2049,FRE08,"HE1327-2326 (3D)",HE_1327-2326,*,12.803,6200,4.04,'-4.06,1.84
2050,YON13,HE1402-0523,HE_1402-0523,*,,6418,3.82,'-2.89,<1.22
2052,YON13,HE2020-5228,HE_2020-5228,*,,6305,3.79,'-2.7,<1.43
2053,YON13,HE2032-5633,HE_2032-5633,*,,6457,3.78,'-3.34,<2.07
2054,YON13,HE2047-5612,HE_2047-5612,*,,6128,3.68,'-3.16,<1.39
2055,YON13,HE2135-1924,HE_2135-1924,*,,6449,4.37,'-3.37,<1.8
2056,YON13,HE2136-6030,HE_2136-6030,*,,6409,3.85,'-2.8,<1.63
2057,PLA13,HE2138-3336,HE_2138-3336,*,,5850,3.6,'-2.22,1.87
2059,YON13,HE2141-0726,HE_2141-0726,*,,6551,4.26,'-2.67,<1.5
2076,YON13,HE2246-2410,HE_2246-2410,*,,6431,4.36,'-2.83,<1.26
2091,LI15c,LAMOSTJ1253+0753,LAMOST_J125346.09+075343.1,*,,6030,3.65,'-3.78,1.35
2093,ROE14b,G180-58,LHS_3199,*,10.3,4980,4.4,'-2.3,0.08
2094,ROE14b,G115-49,LHS_6161,*,10.9,5420,3.8,'-1.95,'-0.64
2113,AOK02d,CS31062-012,LP_706-7,*,11.483,6250,4.5,'-2.12,1.76
2114,AOK08,LP706-7,LP_706-7,*,11.483,6200,4.3,'-2.18,1.75
2115,NOR97b,G270-51,LP_706-7,*,11.483,6000,3.8,'-2.31,1.96
2130,AOK13,SDSSJ091243.72+021623.7,SDSS_J0912+0216,*,,6150,4,'-2.32,1.69
2131,BEH10,SDSSJ091243.72+021623.7,SDSS_J0912+0216,*,,6500,4.5,'-2.34,2.08
2132,AOK13,SDSSJ103649.93+121219.8,SDSS_J1036+1212,*,,5850,4,'-3.2,1.57
2133,BEH10,SDSSJ103649.93+121219.8,SDSS_J1036+1212,*,,6000,4,'-3.25,1.59
2134,AOK13,SDSSJ134913.54-022942.8,SDSS_J1349-0229,*,,6200,4,'-2.51,2.28
2135,BEH10,SDSSJ134913.54-022942.8,SDSS_J1349-0229,*,,6200,4,'-2.48,2.37
2148,ROE14b,G206-34,Ross_711,*,11,5930,3.6,'-2.77,0.18
2163,BAR05,HE0938+0114,Ross_889,*,10.1,6777,4.89,'-2.31,0.42
2168,ROE14b,HE0938+0114,Ross_889,*,10.1,6030,3.65,'-2.73,<0.25
2172,ROE14b,CS29514-018,SB_467,*,,5990,3.7,'-2.57,0.01
2175,BON09,CS29499-060,SB_966,*,,6318,4,'-2.53,0.33
2176,ROE14b,CS29499-060,SB_966,*,,6280,3.8,'-2.51,0.26
2180,AOK13,SDSSJ000219.87+292851.8,SDSS_J000219.87+292851.8,*,,6150,4,'-2.9,2.27
2182,AOK14,SDSSJ001820.51-093939.2,SDSS_J001820.51-093939.2,*,,4600,5,'-3.09,'-0.44
2201,AOK13,SDSSJ025956.45+005713.3,SDSS_J025956.45+005713.3,*,15.05,4550,5,'-3.12,'-0.21
2202,AOK13,SDSSJ030839.27+050534.9,SDSS_J030839.27+050534.9,*,,5950,4,'-1.88,2.05
2206,AOK13,SDSSJ035111.27+102643.2,SDSS_J035111.26+102643.2,*,,5450,3.6,'-2.47,0.84
2210,AOK13,SDSSJ062947.45+830328.6,SDSS_J062947.45+830328.6,*,,5550,4,'-2.73,2.0
2255,AOK13,SDSSJ124502.68-073847.1,SDSS_J124502.68-073847.0,*,,6100,4,'-2.48,1.85
2269,SUS16,SDSSJ1343+4844,SDSS_J134338.67+484426.6,*,,5620,3.44,'-3.29,0.38
2302,CAF13,SDSSJ161956.33+170539.9,SDSS_J161956.33+170539.9,*,,6191,4,'-3.55,2.32
2304,AOK13,SDSSJ162603.61+145844.3,SDSS_J162603.61+145844.2,*,,6400,4,'-2.52,2.39
2311,AOK13,SDSSJ164610.19+282422.2,SDSS_J164610.19+282422.2,*,,6100,4,'-2.34,1.81
2314,AOK13,SDSSJ170339.60+283649.9,SDSS_J170339.59+283650.1,*,,5000,4.8,'-3.02,'-0.01
2344,AOK13,SDSSJ235718.91-005247.8,SDSS_J235718.91-005247.7,*,,5000,4.8,'-3.17,0.24
2345,AOK10,SDSSJ235718.91-005247.8,SDSS_J235718.91-005247.7,*,,5200,4.8,'-2.45,'-0.18
2499,ALL12,BS16077-077,TYC_1987-753-1,*,11.296,5900,3.19,'-1.52,1.86
2500,HON04,BS17583-100,TYC_2197-1168-1,*,11.584,5930,4,'-2.17,0.41
2503,BAR05,HE0926-0508,TYC_4889-826-1,*,11.617,6249,4.24,'-2.52,0.32
2506,BAR05,HE1120-0153,TYC_4923-62-1,*,11.036,6191,4.09,'-2.74,0.57
2536,HAN15,HE0448-4806,TYC_8080-239-1,*,,5900,3.6,'-1.82,1.8
2538,ROE14b,CS22943-095,TYC_8406-355-1,*,,6140,3.8,'-2.12,0.05
2546,BON09,CS29527-015,UCAC2_24258051,*,,6242,4,'-3.14,0.89
2550,BON09,CS22953-037,UCAC2_5736774,*,13.13,6364,4.25,'-2.55,0.15
2551,ROE14b,CS22953-037,UCAC2_5736774,*,13.13,6150,3.7,'-2.66,0.45
2554,CAF11a,SDSSJ102915.14+172927.9,UCAC3_215-112497,*,15.98,5811,4,'-4.7,<1.02
2562,COH13,HE0017-4346,UCAC4_233-000355,*,,6198,3.8,'-2.21,2.16
2567,COH13,HE2204-4034,UCAC4_249-182937,*,,6114,3.8,'-2.64,0.78
2573,COH13,HE0251-3216,UCAC4_290-002911,*,,5750,3.7,'-2.55,1.84
2578,COH13,HE1405-2512,UCAC4_323-073878,*,,5602,3.3,'-2.61,0.45
2586,COH13,HE0055-2314,UCAC4_336-001090,*,,6290,4.4,'-2.35,0.54
2599,COH13,HE0447-1858,UCAC4_356-006281,*,,5570,3.5,'-2.34,0.07
2601,COH13,HE1432-1819,UCAC4_358-070119,*,,5975,3.6,'-1.98,0.37
2603,COH13,HE1133-1641,UCAC4_366-058908,*,,6500,4.2,'-2.56,0.95
2612,COH13,HE1439-1420,UCAC4_378-069857,*,,6056,3.8,'-2.56,1.55
2625,COH13,HE0255-0859,UCAC4_407-003501,*,,5250,4.8,'-2.16,'-0.45
2633,COH13,HE1141-0610,UCAC4_418-054821,*,,6750,4.1,'-1.87,0.6
2635,COH13,HE0102-0633,UCAC4_419-001309,*,,6012,3.7,'-2.67,0.56
2642,YON13,HE1346-0427,UCAC4_427-057119,*,13.433,6255,3.69,'-3.32,<0.85
2648,COH13,HE1439-0218,UCAC4_438-059829,*,,6150,3.7,'-2.25,0.38
2649,COH13,HE1446-0140,UCAC4_441-059100,*,,6090,4.4,'-2.19,0.07
2651,COH13,HE1338-0052,UCAC4_445-056878,*,,5856,3.7,'-2.58,1.01
2654,COH06,HE1410-0004,UCAC4_449-055625,*,,5605,3.5,'-2.5,1.63
2655,COH13,HE1410-0004,UCAC4_449-055625,*,,5605,3.5,'-2.5,1.59
2659,COH06,HE0336+0113,UCAC4_457-004973,*,,5700,3.5,'-1.7,1.43
2660,COH13,HE0336+0113,UCAC4_457-004973,*,,5700,3.5,'-1.66,1.35
2663,COH08,HE1300+0157,UCAC4_459-050836,*,13.261,5632,3.37,'-3.13,1.13
2686,LAI08,BS16545-089,UCAC4_635-047506,*,13.812,6500,4.25,<-3.17,<1.44
2687,YON13,BS16545-089,UCAC4_635-047506,*,13.812,6486,3.82,'-3.19,<1.52
2689,LI15a,LAMOSTJ0257-0022,US_3404,*,,6330,4.2,'-2.15,0.67
2690,IVA03,CS22966-043,V*_BX_Scl,*,,7400,3.5,'-2.58,0.76
2713,ROE14b,G15-10,Wolf_1137,*,,5050,4.05,'-2.11,'-0.23
2714,ROE14b,G188-30,Wolf_1143,*,10.3,5090,4.3,'-1.77,'-0.59
2715,AOK06,G64-12,Wolf_1492,*,10.892,6390,4.38,'-2.8,0.05
2718,BAR05,G64-12,Wolf_1492,*,10.892,6141,4.25,'-2.91,0.14
2728,ROE14b,G64-12,Wolf_1492,*,10.892,6030,3.6,'-3.08,<0.6
2731,ROE14b,G199-66,Wolf_481,*,12.6,5560,3.45,'-1.83,'-0.28
2734,ROE14b,G16-25,Wolf_624,*,13,5250,4.1,'-1.95,'-0.49
