mass_flame,vsini_esphs,flags_esphs
2.0841804,57.605366,01
2.0628006,139.01675,01
3.9408314,136.90341,01
1.7744043,171.03432,01
3.1628053,0.0,01
2.4226336,153.82022,01
2.4552948,2.7297523,01
3.2381887,71.773766,01
2.3144157,119.95891,01
2.3943524,232.40895,01
2.0709944,313.2469,01
1.7401696,143.89839,01
2.8688111,8.852669,01
1.9337503,295.54086,01
4.324487,44.176533,01
1.762141,83.606674,01
2.6442604,92.03432,01
1.78498,118.29498,01
2.3092575,112.59495,01
1.8949586,114.17187,01
3.50657,45.799156,01
2.973103,152.98767,01
1.6769562,4.9413943,01
2.5343888,244.29721,01
2.1142828,164.77054,01
3.3032053,94.495094,01
2.2774737,12.232744,01
1.9352459,92.86811,01
2.4611943,75.23016,01
2.8638499,102.2477,01
2.2128909,122.299934,01
1.7192161,37.673885,01
1.87864,63.433933,01
2.37359,213.68335,01
1.8911339,260.0997,01
1.6759392,74.698616,01
1.6677856,128.33058,01
2.3830006,94.001686,01
1.8465114,124.03776,01
1.6791189,23.077406,01
1.965043,118.13459,01
1.696383,56.16097,01
2.3158605,74.220375,01
1.6026418,78.07559,01
3.429821,108.94499,01
2.388947,136.11098,01
2.7100313,134.85002,01
1.7334828,15.018087,01
1.9120201,97.65538,01
1.8425919,103.06265,01
2.4983275,103.585556,01
1.7368197,63.41735,01
2.100176,38.037754,01
1.7662069,106.68338,01
2.4894006,51.525864,01
1.7818792,109.89143,01
1.6185699,133.22647,01
2.1749523,139.32439,01
1.967024,63.25684,01
2.116424,48.65652,01
2.4125834,191.68602,01
2.140109,5.1015334,01
1.6602945,214.0238,01
2.2331417,28.596165,01
2.141833,49.001705,01
1.7102818,184.25182,01
2.0551493,177.17001,01
2.0844657,35.24467,01
2.0339348,152.0357,01
2.2696478,116.251755,01
2.7505145,97.72562,01
1.9692243,121.14243,01
1.6434,204.87328,01
1.8563347,21.433338,01
1.6798081,86.76915,01
2.8715856,115.144226,01
1.8622551,31.893673,01
2.2069616,156.30463,01
2.392087,258.86273,01
2.7068777,179.78531,01
3.1448028,0.0,01
1.9503103,1.5984564,01
1.7355454,115.07726,01
2.1560085,37.31562,01
1.6901495,219.41783,01
2.2479255,96.16396,01
1.7636132,171.98677,01
2.1885176,48.659805,01
1.8250941,144.68263,01
2.1716607,168.62021,01
1.8142669,24.23517,01
1.9881318,23.042345,01
1.998425,62.96847,01
4.001307,0.0,01
1.8196079,115.699715,01
1.8680967,247.26387,01
2.6299767,156.21643,01
2.394904,84.62486,01
2.1859095,125.64422,01
2.0271502,116.4389,01
2.0845313,7.9031615,01
2.4238467,52.06268,01
4.105011,104.37385,01
1.8734977,97.44562,01
1.8965654,40.52832,01
2.3461864,87.30603,01
2.6350434,99.67203,01
2.8044198,13.601588,01
1.6566427,123.56254,01
1.9975449,118.37939,01
2.344151,75.13246,01
1.657363,9.245644,01
1.9664373,81.57583,01
1.8143903,259.31845,01
1.948542,196.13524,01
1.5971882,81.66769,01
1.9393941,209.76329,01
2.1797917,77.51844,01
1.8015835,180.49706,01
1.6381836,37.687695,01
2.5961447,60.181812,01
1.7637694,85.02956,01
1.7488855,88.563934,01
2.624977,0.0,01
2.101615,2.1855242,01
1.9920805,59.242687,01
1.6408827,117.34882,01
4.3289976,0.0,01
1.6562716,82.21733,01
1.918921,17.938856,01
2.1780698,138.79117,01
2.168018,79.83162,01
1.9000381,47.404015,01
2.037824,2.5749285,01
1.9480268,81.06389,01
2.4240248,145.51355,01
1.831235,61.74758,01
2.4415646,179.68225,01
1.7038957,128.38345,01
1.8449719,242.12141,01
2.509523,73.725235,01
1.9061074,23.38443,01
2.0485284,132.7684,01
1.6384035,1.0226578,01
2.058913,53.240192,01
2.0345948,40.687202,01
2.054001,230.78127,01
