H Mass Fractions
H Battino+ 2021, MDPI Universe
H Z=0.001, 0.002
 & specie & m2z1m3-bigpoc & m3z1m3-bigpoc & m2z2m3-bigpoc & \\ 
 & SN119  & 5.082E-11     & 8.723E-11     & 6.761E-10     & \\ 
 & SN120  & 2.450E-10     & 4.404E-10     & 3.506E-09     & \\ 
 & SN122  & 1.856E-11     & 4.287E-11     & 1.615E-10     & \\ 
 & SN124  & 8.002E-12     & 8.251E-12     & 1.524E-11     & \\ 
 & SB121  & 2.183E-11     & 3.729E-11     & 2.820E-10     & \\ 
 & SB123  & 7.068E-12     & 1.088E-11     & 3.330E-11     & \\ 
 & TE120  & 1.577E-13     & 1.603E-13     & 2.770E-13     & \\ 
 & TE122  & 2.982E-11     & 5.345E-11     & 4.712E-10     & \\ 
 & TE123  & 1.057E-11     & 1.864E-11     & 1.709E-10     & \\ 
 & TE124  & 6.112E-11     & 1.059E-10     & 9.613E-10     & \\ 
 & TE125  & 3.005E-11     & 4.473E-11     & 3.450E-10     & \\ 
 & TE126  & 1.345E-10     & 2.187E-10     & 1.917E-09     & \\ 
 & TE128  & 6.844E-11     & 7.637E-11     & 3.499E-10     & \\ 
 & TE130  & 6.129E-11     & 6.178E-11     & 1.168E-10     & \\ 
 & I 127  & 2.759E-11     & 3.892E-11     & 2.711E-10     & \\ 
 & XE124  & 2.139E-13     & 2.175E-13     & 3.750E-13     & \\ 
 & XE126  & 1.890E-13     & 1.919E-13     & 3.348E-13     & \\ 
 & XE128  & 3.570E-11     & 6.226E-11     & 6.139E-10     & \\ 
 & XE129  & 6.134E-11     & 7.336E-11     & 3.512E-10     & \\ 
 & XE130  & 7.988E-11     & 1.333E-10     & 1.446E-09     & \\ 
 & XE131  & 6.607E-11     & 8.710E-11     & 6.019E-10     & \\ 
 & XE132  & 1.909E-10     & 3.051E-10     & 2.869E-09     & \\ 
 & XE134  & 2.492E-11     & 4.387E-11     & 7.139E-11     & \\ 
 & XE136  & 1.484E-11     & 1.528E-11     & 2.969E-11     & \\ 
 & CS133  & 3.346E-11     & 4.967E-11     & 3.960E-10     & \\ 
 & BA130  & 1.756E-13     & 1.786E-13     & 3.076E-13     & \\ 
 & BA132  & 1.708E-13     & 1.735E-13     & 3.018E-13     & \\ 
 & BA134  & 5.346E-11     & 8.805E-11     & 1.099E-09     & \\ 
 & BA135  & 3.913E-11     & 6.568E-11     & 4.825E-10     & \\ 
 & BA136  & 1.623E-10     & 2.766E-10     & 2.992E-09     & \\ 
 & BA137  & 1.440E-10     & 2.567E-10     & 2.486E-09     & \\ 
 & BA138  & 1.922E-09     & 3.574E-09     & 3.708E-08     & \\ 
 & LA138  & 1.541E-14     & 1.572E-14     & 2.701E-14     & \\ 
 & LA139  & 2.338E-10     & 4.346E-10     & 4.467E-09     & \\ 
 & CE136  & 8.126E-14     & 8.253E-14     & 1.438E-13     & \\ 
 & CE138  & 1.116E-13     & 1.131E-13     & 2.003E-13     & \\ 
 & CE140  & 8.038E-10     & 1.320E-09     & 1.562E-08     & \\ 
 & CE142  & 1.616E-11     & 4.830E-11     & 5.210E-11     & \\ 
 & PR141  & 7.696E-11     & 1.379E-10     & 1.304E-09     & \\ 
 & ND142  & 2.151E-10     & 3.483E-10     & 4.153E-09     & \\ 
 & ND143  & 3.463E-11     & 5.883E-11     & 5.651E-10     & \\ 
 & ND144  & 1.047E-10     & 1.892E-10     & 1.803E-09     & \\ 
 & ND145  & 2.064E-11     & 3.650E-11     & 3.258E-10     & \\ 
 & ND146  & 9.794E-11     & 1.719E-10     & 1.756E-09     & \\ 
 & ND148  & 8.819E-12     & 2.383E-11     & 5.005E-11     & \\ 
 & ND150  & 2.138E-12     & 2.419E-12     & 3.890E-12     & \\ 
 & SM144  & 3.591E-13     & 3.631E-13     & 6.534E-13     & \\ 
 & SM147  & 1.199E-11     & 2.025E-11     & 1.786E-10     & \\ 
 & SM148  & 2.708E-11     & 4.136E-11     & 5.707E-10     & \\ 
 & SM149  & 5.808E-12     & 9.030E-12     & 8.192E-11     & \\ 
 & SM150  & 2.050E-11     & 3.434E-11     & 3.650E-10     & \\ 
