# Table 6 from https://ui.adsabs.harvard.edu/abs/2021ApJ...923...65F/abstract
# These are derived from emission lines (?) of early type (elliptical?) galaxies
# Stellar Population Results as a Function of Galaxy Radius r/R _e, where We Take the Slit Width into Account, and Distance from the Galaxy Center along the Slit x/R _e
#
# 
name    r	x 	sigma	sigma_err t   t_err	[Z/H]   [Z/H]_err	IMF	IMF_err   [O/Fe]    [O/Fe]_err	[Mg/Fe]     [Mg/Fe]_err	[Si/Fe]     [Si/Fe]_err		[Ca/Fe]     [Ca/Fe]_err		[Ti/Fe]     [Ti/Fe]_err		[Fe/H]      [Fe/H]_err		[Na/Fe]     [Na/Fe]_err		[C/Fe]      [C/Fe]_err		[N/Fe]      [N/Fe]_err		
# (km s^-1)	(Gyr)	(dex)		(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	
NGC5061     0.085	0.083	181 +2	3.6 +0.2	0.16 +0.02	3.4 +0.1	0.15 +0.06	0.19 +0.05	0.07 +0.04	-0.04 +0.04	0.15 +0.05	-0.05 +0.03	0.25 +0.04	0.18 +0.03	-0.02 +0.07	
NGC5061     0.134	0.133	174 +2	3.7 +0.2	0.11 +0.02	3.4 +0.1	0.13 +0.06	0.20 +0.04	0.06 +0.04	-0.02 +0.04	0.15 +0.05	-0.06 +0.03	0.20 +0.05	0.17 +0.03	-0.09 +0.08	
NGC5061     0.209	0.208	176 +3	4.0 +0.3	0.04 +0.04	3.3 +0.2	0.11 +0.08	0.18 +0.06	0.03 +0.07	-0.06 +0.05	0.12 +0.07	-0.02 +0.04	0.11 +0.08	0.14 +0.05	-0.09 +0.11	
NGC5061     0.292	0.292	168 +3	4.6 +0.2	-0.11 +0.02	2.9 +0.2	0.27 +0.06	0.15 +0.04	-0.10 +0.05	-0.04 +0.04	0.10 +0.05	-0.03 +0.03	0.10 +0.05	0.16 +0.03	-0.10 +0.08	
NGC5061     0.770	0.770	167 +5	5.5 +0.9	-0.33 +0.03	1.9 +0.3	0.42 +0.05	0.16 +0.03	-0.09 +0.08	-0.11 +0.03	0.03 +0.07	-0.07 +0.02	0.12 +0.04	0.19 +0.02	0.10 +0.09	
NGC7144     0.019	0.007	158 +1	11.6 +0.7	0.14 +0.02	2.2 +0.2	0.31 +0.04	0.21 +0.03	0.10 +0.03	0.02 +0.03	0.06 +0.04	-0.01 +0.02	0.32 +0.03	0.20 +0.03	0.04 +0.08	
NGC7144     0.033	0.028	154 +2	10.2 +0.4	0.08 +0.01	2.4 +0.1	0.30 +0.03	0.21 +0.02	0.02 +0.08	0.02 +0.03	0.04 +0.03	-0.01 +0.02	0.26 +0.03	0.18 +0.02	-0.02 +0.12	
NGC7144     0.085	0.083	147 +1	11.0 +0.8	-0.10 +0.02	2.1 +0.2	0.32 +0.04	0.19 +0.03	0.09 +0.03	-0.04 +0.03	0.00 +0.04	0.00 +0.02	0.17 +0.04	0.17 +0.03	-0.16 +0.15	
NGC7144     0.188	0.188	138 +2	10.0 +0.5	-0.17 +0.02	2.3 +0.2	0.31 +0.04	0.19 +0.03	0.08 +0.04	-0.07 +0.03	0.00 +0.05	-0.00 +0.02	0.09 +0.04	0.16 +0.03	-0.20 +0.15	
NGC7144     0.375	0.375	129 +2	8.6 +0.8	-0.25 +0.02	2.4 +0.1	0.38 +0.04	0.21 +0.03	0.07 +0.04	-0.11 +0.03	0.01 +0.05	-0.03 +0.02	0.09 +0.04	0.18 +0.03	-0.09 +0.16	
NGC7144     0.625	0.625	139 +3	6.8 +1.0	-0.30 +0.04	2.4 +0.2	0.45 +0.05	0.16 +0.04	-0.02 +0.06	-0.13 +0.03	-0.15 +0.05	-0.05 +0.03	0.09 +0.05	0.20 +0.04	-0.17 +0.16	
NGC7144     0.875	0.875	142 +4	6.6 +1.1	-0.34 +0.05	2.2 +0.2	0.32 +0.10	0.18 +0.06	-0.07 +0.08	-0.20 +0.05	-0.17 +0.07	-0.05 +0.04	0.10 +0.07	0.16 +0.06	-0.09 +0.16	
