f_preferred_name,Fe,Fe_err,C,C_err,O,O_err,Mg,Mg_err,Si,Si_err,S,S_err,Ca,Ca_err,Ti,Ti_err,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,
HIP 98442 ,0.12 ,0.04 ,,,,,0.09 ,0.07 ,0.19 ,0.05 ,0.12 ,0.09 ,0.22 ,0.06 ,0.40 ,0.05 ,300.0340911 ,7.7606200 ,23.016 ,-39.810 ,6.267 ,46.41 ,thin ,F5 ,7.24 ,0.506 ,-12.50 ,-7.70 ,-3.40 ,6367.0 ,4.34 ,1.30 ,1.22 ,
2MASS 19521821+4511204 ,-0.01 ,0.04 ,-0.05 ,0.09 ,-0.11 ,0.09 ,-0.12 ,0.07 ,-0.09 ,0.05 ,,,0.02 ,0.06 ,-0.09 ,0.05 ,298.0758705 ,45.1890467 ,113.929 ,-213.587 ,243.675 ,343.48 ,N/A ,,,,,,,5060.0 ,4.58 ,0.83 ,0.78 ,
HIP 32916 ,0.35 ,0.08 ,0.23 ,0.08 ,0.09 ,0.09 ,0.31 ,0.10 ,0.27 ,0.13 ,0.18 ,0.15 ,0.32 ,0.12 ,0.31 ,0.07 ,102.8771509 ,40.8677567 ,-7.441 ,32.548 ,28.888 ,44.15 ,thin ,G0 ,8.10 ,0.729 ,-14.30 ,-25.80 ,1.10 ,5610.0 ,4.43 ,0.99 ,1.04 ,
2MASS 19330144+3943077 ,-0.11 ,0.04 ,-0.17 ,0.09 ,-0.19 ,0.09 ,-0.22 ,0.07 ,-0.12 ,0.05 ,,,-0.03 ,0.06 ,-0.16 ,0.05 ,293.2560167 ,39.7187910 ,142.475 ,-331.523 ,299.776 ,469.12 ,N/A ,,,,,,,5312.0 ,4.51 ,0.98 ,0.92 ,
2MASS 11384307+3237333 ,-0.15 ,0.04 ,-0.18 ,0.09 ,,,-0.12 ,0.07 ,-0.20 ,0.05 ,,,-0.11 ,0.06 ,-0.12 ,0.05 ,174.6795039 ,32.6259526 ,-110.449 ,10.286 ,71.012 ,131.71 ,N/A ,,,,,,,6158.2 ,4.43 ,1.19 ,1.10 ,
HIP 154 ,-0.01 ,0.10 ,0.16 ,0.34 ,0.06 ,0.20 ,,,-0.06 ,0.05 ,,,0.03 ,0.06 ,,,0.4900811 ,-6.0140706 ,130.762 ,1.118 ,-13.777 ,131.49 ,thin ,M2III ,4.37 ,1.631 ,-12.50 ,-38.10 ,-4.10 ,3915.0 ,,,,
2MASS 19343390+4439253 ,0.04 ,0.04 ,0.03 ,0.09 ,0.04 ,0.09 ,-0.01 ,0.07 ,0.00 ,0.05 ,,,0.05 ,0.06 ,0.00 ,0.05 ,293.6412891 ,44.6570440 ,183.740 ,-419.740 ,452.741 ,644.14 ,N/A ,,,,,,,5005.3 ,4.51 ,0.88 ,0.84 ,
2MASS 22050653-1407180 ,-0.37 ,0.04 ,-0.35 ,0.09 ,-0.10 ,0.09 ,-0.34 ,0.07 ,-0.29 ,0.05 ,,,-0.35 ,0.06 ,-0.35 ,0.05 ,331.2772254 ,-14.1216698 ,314.573 ,-172.386 ,-90.246 ,369.89 ,N/A ,,,,,,,5769.5 ,4.59 ,1.03 ,0.85 ,
HIP 98461 ,-0.15 ,0.02 ,,,,,-0.04 ,0.07 ,0.00 ,0.05 ,,,-0.03 ,0.06 ,-0.07 ,0.05 ,300.0663871 ,-37.7017226 ,42.601 ,-73.590 ,-65.723 ,107.47 ,thin ,G8/K0III ,5.95 ,0.989 ,15.40 ,2.00 ,-19.90 ,4852.2 ,2.68 ,,11.17 ,
2MASS 23095844-2057229 ,-1.22 ,0.04 ,,,,,-1.09 ,0.07 ,-1.02 ,0.05 ,,,-0.96 ,0.06 ,-0.92 ,0.05 ,347.4935842 ,-20.9564333 ,275.222 ,-61.048 ,-107.970 ,301.88 ,N/A ,,,,,,,6362.0 ,4.49 ,1.22 ,1.07 ,
HIP 171 ,-0.77 ,0.88 ,0.10 ,0.82 ,-0.28 ,0.22 ,-0.39 ,0.21 ,-0.52 ,0.10 ,-0.33 ,0.27 ,-0.49 ,0.18 ,-0.45 ,0.30 ,0.5431197 ,27.0818331 ,10.826 ,0.103 ,5.536 ,12.16 ,thin ,G5VFe-1 ,5.80 ,0.690 ,-8.80 ,-74.80 ,-34.30 ,5570.0 ,4.42 ,,,
HIP 65708 ,-0.03 ,0.07 ,-0.03 ,0.16 ,-0.01 ,0.14 ,0.11 ,0.16 ,-0.01 ,0.11 ,0.01 ,0.07 ,0.00 ,0.05 ,0.03 ,0.06 ,202.0779535 ,-0.8401915 ,-40.797 ,-16.548 ,-0.646 ,44.03 ,thick ,G3/5V ,7.44 ,0.651 ,72.80 ,-31.10 ,-57.10 ,5743.2 ,4.23 ,1.06 ,1.32 ,
HIP 98482 ,-0.14 ,0.04 ,,,,,-0.10 ,0.07 ,-0.02 ,0.05 ,,,-0.07 ,0.06 ,-0.07 ,0.05 ,300.1055330 ,-49.3509450 ,33.832 ,-58.350 ,-78.557 ,103.54 ,thin ,K0III ,6.18 ,1.056 ,74.50 ,-19.50 ,-2.40 ,4769.6 ,2.61 ,,10.38 ,
HIP 184 ,0.17 ,0.06 ,0.09 ,0.09 ,0.06 ,0.09 ,0.08 ,0.07 ,0.07 ,0.05 ,,,0.13 ,0.06 ,0.09 ,0.05 ,0.5897620 ,11.0062376 ,30.585 ,0.315 ,5.949 ,31.16 ,thin ,K0 ,8.48 ,0.888 ,6.20 ,-14.70 ,9.70 ,5161.5 ,4.47 ,0.85 ,0.88 ,
HIP 65721 ,-0.03 ,0.18 ,0.06 ,0.12 ,-0.01 ,0.14 ,0.07 ,0.12 ,-0.05 ,0.08 ,0.02 ,0.14 ,0.01 ,0.11 ,0.02 ,0.07 ,202.1075358 ,13.7787884 ,-16.188 ,-6.576 ,4.285 ,17.99 ,thin ,G5V ,4.97 ,0.714 ,12.90 ,-51.40 ,-4.30 ,6245.0 ,3.97 ,0.96 ,1.92 ,
HIP 32955 ,-0.66 ,0.10 ,,,-0.34 ,0.14 ,-0.50 ,0.04 ,-0.60 ,0.02 ,,,-0.54 ,0.01 ,-0.55 ,0.04 ,102.9620617 ,41.5763114 ,-11.353 ,49.325 ,44.900 ,67.66 ,thin ,F8 ,7.85 ,0.439 ,27.10 ,28.90 ,-20.60 ,6502.0 ,4.13 ,1.23 ,1.31 ,
HIP 65725 ,-0.03 ,0.04 ,-0.04 ,0.10 ,0.08 ,0.07 ,0.01 ,0.06 ,-0.03 ,0.04 ,-0.03 ,0.08 ,-0.01 ,0.06 ,-0.06 ,0.10 ,202.1111614 ,15.7082986 ,-45.262 ,-18.389 ,13.740 ,50.75 ,thin ,F5 ,7.37 ,0.540 ,-16.30 ,-4.50 ,-13.10 ,5962.0 ,4.43 ,,,
2MASS 19272048+4857121 ,0.32 ,0.04 ,0.36 ,0.10 ,0.26 ,0.02 ,0.34 ,0.12 ,0.30 ,0.04 ,,,0.29 ,0.02 ,0.27 ,0.05 ,291.8353754 ,48.9533363 ,38.838 ,-96.930 ,119.925 ,159.01 ,N/A ,,,,,,,5610.1 ,4.08 ,1.02 ,1.61 ,
HD 12782 ,-0.44 ,0.04 ,,,-0.12 ,0.09 ,-0.08 ,0.07 ,-0.24 ,0.05 ,,,-0.18 ,0.06 ,-0.17 ,0.05 ,31.6740642 ,51.3280617 ,55.306 ,34.123 ,81.197 ,104.00 ,N/A ,,,,,,,5034.3 ,3.40 ,,2.94 ,
HIP 65737 ,-0.28 ,0.07 ,-0.21 ,0.10 ,-0.21 ,0.16 ,-0.12 ,0.09 ,-0.20 ,0.06 ,-0.32 ,0.04 ,-0.16 ,0.11 ,-0.19 ,0.07 ,202.1273032 ,-27.3918463 ,-30.111 ,-12.244 ,-16.843 ,36.61 ,thin ,F9.5V ,7.20 ,0.583 ,-41.90 ,-2.30 ,33.90 ,5937.0 ,4.37 ,1.07 ,1.18 ,
HIP 32970 ,0.33 ,0.08 ,0.38 ,0.08 ,0.20 ,0.04 ,0.35 ,0.06 ,0.34 ,0.06 ,0.32 ,0.09 ,0.32 ,0.04 ,0.30 ,0.06 ,103.0084341 ,-33.9155609 ,-8.611 ,37.275 ,-25.722 ,46.10 ,thin ,G0/2V ,7.21 ,0.614 ,-32.50 ,-21.40 ,-17.00 ,6016.8 ,4.26 ,1.09 ,1.44 ,
HIP 32971 ,-0.03 ,0.04 ,-0.12 ,0.09 ,,,-0.10 ,0.07 ,-0.06 ,0.05 ,-0.28 ,0.09 ,-0.04 ,0.06 ,-0.04 ,0.05 ,103.0099376 ,-11.2045105 ,-6.545 ,28.329 ,-5.759 ,29.64 ,thin ,G4.5V ,7.41 ,0.721 ,-13.30 ,-5.40 ,-7.50 ,5608.2 ,,,,
HIP 98505 ,0.01 ,0.18 ,0.06 ,0.19 ,-0.05 ,0.20 ,0.05 ,0.19 ,0.03 ,0.10 ,0.18 ,0.52 ,0.06 ,0.07 ,0.10 ,0.13 ,300.1821373 ,22.7108537 ,9.020 ,-15.510 ,7.509 ,19.45 ,thin ,K2V ,7.67 ,0.932 ,15.70 ,-12.60 ,-11.80 ,5014.8 ,4.51 ,0.84 ,0.78 ,
HIP 65747 ,0.50 ,0.04 ,,,0.33 ,0.09 ,,,0.41 ,0.05 ,,,0.29 ,0.06 ,0.26 ,0.05 ,202.1637182 ,28.4485901 ,-60.362 ,-24.589 ,35.313 ,74.13 ,thin ,G1/2V ,8.34 ,0.682 ,-16.60 ,-53.30 ,-14.90 ,5879.2 ,4.36 ,1.06 ,1.33 ,
