f_preferred_name,Fe,Fe_err,C,C_err,O,O_err,Mg,Mg_err,Si,Si_err,S,S_err,Ca,Ca_err,Ti,Ti_err,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,
HIP 19422 ,0.05 ,0.02 ,0.05 ,0.09 ,-0.04 ,0.16 ,-0.01 ,0.02 ,0.02 ,0.01 ,,,0.02 ,0.01 ,0.00 ,0.10 ,62.3960004 ,69.5413920 ,3.037 ,5.808 ,17.567 ,18.75 ,thin ,K2.5V ,7.70 ,0.952 ,-7.70 ,-23.90 ,-17.30 ,4918.1 ,4.60 ,0.82 ,0.76 ,
HIP 19428 ,-0.03 ,0.04 ,0.00 ,0.09 ,0.07 ,0.09 ,-0.02 ,0.07 ,-0.03 ,0.05 ,,,-0.01 ,0.06 ,-0.04 ,0.05 ,62.4118998 ,31.6521330 ,16.005 ,30.631 ,21.305 ,40.60 ,thin ,F8V ,6.88 ,0.550 ,-16.50 ,5.10 ,14.90 ,6128.3 ,4.15 ,1.12 ,1.44 ,
HIP 52197 ,0.21 ,0.04 ,-0.10 ,0.09 ,-0.11 ,0.09 ,0.08 ,0.07 ,-0.01 ,0.05 ,,,0.18 ,0.06 ,0.12 ,0.05 ,159.9607311 ,37.8390733 ,-87.362 ,31.865 ,72.233 ,117.75 ,thin ,K0 ,7.59 ,0.990 ,6.60 ,-22.60 ,9.60 ,4939.9 ,3.23 ,,5.19 ,
HIP 19431 ,-0.01 ,0.04 ,,,,,,,0.52 ,0.05 ,,,0.34 ,0.06 ,0.12 ,0.05 ,62.4203848 ,-7.8928267 ,23.223 ,44.460 ,-6.954 ,50.64 ,thin ,G3V ,7.03 ,0.712 ,-30.60 ,7.80 ,4.00 ,5447.2 ,3.82 ,0.97 ,2.14 ,
HIP 19435 ,-0.38 ,0.04 ,-0.40 ,0.09 ,-0.22 ,0.09 ,-0.27 ,0.07 ,-0.34 ,0.05 ,,,-0.25 ,0.06 ,-0.16 ,0.05 ,62.4299527 ,35.9773891 ,41.593 ,79.662 ,65.238 ,111.05 ,thin ,K0 ,8.00 ,0.890 ,-4.30 ,-42.30 ,-9.60 ,5008.2 ,3.43 ,,4.38 ,
HIP 84975 ,-0.17 ,0.05 ,-0.08 ,0.09 ,0.08 ,0.09 ,-0.01 ,0.10 ,-0.09 ,0.10 ,0.16 ,0.09 ,-0.16 ,0.07 ,-0.07 ,0.10 ,260.5172133 ,5.0008141 ,-12.684 ,-75.934 ,6.736 ,77.28 ,thin ,G9III-IV ,6.67 ,0.927 ,13.50 ,-13.00 ,-18.10 ,5044.8 ,3.17 ,,5.52 ,
2MASS 19281065+4619444 ,0.05 ,0.04 ,0.02 ,0.09 ,0.06 ,0.09 ,0.01 ,0.07 ,0.04 ,0.05 ,,,0.14 ,0.06 ,-0.02 ,0.05 ,292.0443942 ,46.3290124 ,254.689 ,-628.973 ,710.815 ,982.72 ,N/A ,,,,,,,5954.3 ,4.14 ,1.04 ,1.51 ,
HIP 84988 ,-0.65 ,0.06 ,,,-0.23 ,0.09 ,-0.36 ,0.07 ,-0.42 ,0.08 ,,,-0.47 ,0.06 ,-0.38 ,0.12 ,260.5527067 ,-75.3481500 ,-1.164 ,-6.994 ,-27.118 ,28.03 ,thick ,G2VFe-1.0CH-0.6 ,7.00 ,0.607 ,6.40 ,-127.80 ,68.20 ,5890.2 ,4.05 ,1.03 ,1.02 ,
B-05 05432 ,0.40 ,0.04 ,0.27 ,0.09 ,0.11 ,0.09 ,0.32 ,0.07 ,0.38 ,0.05 ,,,0.44 ,0.06 ,0.29 ,0.05 ,315.0258201 ,-5.0944541 ,35.204 ,-35.172 ,-4.436 ,49.96 ,N/A ,,,,,,,4875.2 ,4.13 ,0.76 ,0.88 ,
HD 190780 ,-0.26 ,0.04 ,-0.39 ,0.09 ,-0.32 ,0.09 ,-0.04 ,0.07 ,-0.20 ,0.05 ,,,-0.14 ,0.06 ,-0.20 ,0.05 ,301.0299730 ,54.4663224 ,33.588 ,-55.834 ,91.234 ,112.11 ,N/A ,,,,,,,5086.5 ,,,4.55 ,
HIP 19467 ,-0.32 ,0.04 ,,,,,,,-0.26 ,0.05 ,,,,,-0.18 ,0.05 ,62.5308491 ,-61.5989460 ,8.987 ,17.286 ,-36.030 ,40.96 ,thin ,F9Vm-1 ,7.16 ,0.551 ,13.20 ,-1.20 ,9.10 ,6068.0 ,4.33 ,1.12 ,1.26 ,
HIP 85007 ,-0.36 ,0.10 ,-0.25 ,0.08 ,-0.20 ,0.18 ,-0.32 ,0.13 ,-0.38 ,0.09 ,-0.27 ,0.09 ,-0.38 ,0.11 ,-0.40 ,0.12 ,260.6151916 ,24.8794264 ,-4.334 ,-26.225 ,12.327 ,29.30 ,thin ,F8V ,6.88 ,0.526 ,39.10 ,15.60 ,2.60 ,6085.3 ,4.35 ,1.09 ,1.08 ,
HIP 117776 ,-0.53 ,0.08 ,-0.40 ,0.04 ,-0.14 ,0.11 ,-0.48 ,0.12 ,-0.40 ,0.02 ,-0.42 ,0.06 ,-0.43 ,0.07 ,-0.44 ,0.07 ,358.2787223 ,2.3311142 ,82.914 ,-2.492 ,3.377 ,83.02 ,thin ,F5V ,8.03 ,0.519 ,-22.50 ,17.80 ,-10.60 ,6092.5 ,3.94 ,1.14 ,1.89 ,
HIP 117778 ,0.02 ,0.04 ,-0.09 ,0.03 ,-0.11 ,0.07 ,0.19 ,0.10 ,0.04 ,0.11 ,0.47 ,0.09 ,0.07 ,0.08 ,0.04 ,0.05 ,358.2805362 ,25.9986953 ,82.356 ,-2.472 ,40.184 ,91.67 ,thin ,K1III ,7.51 ,0.968 ,-34.30 ,-14.30 ,-32.40 ,4942.8 ,3.15 ,,4.20 ,
2MASS 19160021+4509153 ,0.09 ,0.04 ,0.00 ,0.09 ,0.03 ,0.09 ,0.08 ,0.07 ,0.10 ,0.05 ,,,0.10 ,0.06 ,0.08 ,0.05 ,,,,,,,N/A ,,,,,,,5841.7 ,4.16 ,,,
HIP 52247 ,-0.44 ,0.02 ,,,-0.16 ,0.09 ,-0.27 ,0.07 ,-0.40 ,0.05 ,,,-0.35 ,0.06 ,-0.39 ,0.05 ,160.1334338 ,-57.1806272 ,-42.976 ,15.529 ,-70.853 ,84.31 ,thin ,G5V ,8.01 ,0.800 ,-23.10 ,-48.80 ,-30.00 ,5198.7 ,3.65 ,,2.64 ,
HIP 85017 ,0.15 ,0.04 ,0.19 ,0.07 ,0.15 ,0.18 ,0.19 ,0.09 ,0.16 ,0.06 ,0.18 ,0.15 ,0.14 ,0.05 ,0.23 ,0.09 ,260.6440242 ,-19.6161813 ,-4.877 ,-29.602 ,-10.693 ,31.85 ,thin ,G8.5V ,7.84 ,0.783 ,-78.40 ,-24.30 ,-25.30 ,5466.0 ,4.43 ,0.95 ,0.96 ,
HIP 19483 ,0.07 ,0.03 ,-0.22 ,0.09 ,-0.34 ,0.09 ,,,0.17 ,0.05 ,,,0.09 ,0.06 ,0.00 ,0.05 ,62.5938328 ,-6.9238519 ,49.144 ,94.783 ,-12.965 ,107.55 ,thin ,G8III ,5.44 ,0.941 ,10.10 ,-2.60 ,4.20 ,5000.0 ,2.81 ,,11.46 ,
HIP 85019 ,0.06 ,0.04 ,0.22 ,0.05 ,0.19 ,0.13 ,0.13 ,0.04 ,0.08 ,0.03 ,0.06 ,0.05 ,0.07 ,0.06 ,0.08 ,0.09 ,260.6581287 ,-35.9105847 ,-4.815 ,-29.266 ,-21.478 ,36.62 ,thin ,F9V: ,6.42 ,0.541 ,-3.60 ,19.40 ,-1.70 ,6103.0 ,4.26 ,1.16 ,1.59 ,
HIP 19494 ,0.07 ,0.04 ,,,,,0.05 ,0.07 ,0.04 ,0.05 ,-0.01 ,0.09 ,0.12 ,0.06 ,0.11 ,0.05 ,62.6443950 ,-26.6083987 ,34.757 ,67.181 ,-37.892 ,84.60 ,N/A ,G3V ,8.65 ,0.626 ,,,,5809.3 ,4.11 ,1.05 ,1.44 ,
HIP 52271 ,-0.11 ,0.06 ,,,,,-0.18 ,0.07 ,-0.02 ,0.11 ,,,0.05 ,0.06 ,0.12 ,0.13 ,160.2082186 ,-48.0251029 ,-178.727 ,64.317 ,-211.144 ,284.01 ,thin ,G8/K0pBa ,7.08 ,1.342 ,-51.70 ,-31.60 ,-25.30 ,4616.0 ,2.10 ,,21.44 ,
HIP 117809 ,-0.47 ,0.04 ,,,,,-0.55 ,0.07 ,-0.59 ,0.05 ,,,,,0.33 ,0.05 ,,,39.809 ,-1.113 ,8.542 ,40.73 ,N/A ,K4V ,10.72 ,1.439 ,,,,4044.0 ,4.56 ,0.63 ,0.69 ,
HIP 85042 ,0.07 ,0.08 ,0.03 ,0.11 ,-0.08 ,0.14 ,0.12 ,0.13 ,0.02 ,0.06 ,0.01 ,0.18 ,0.08 ,0.12 ,0.09 ,0.10 ,260.7136988 ,-2.3881776 ,-3.147 ,-19.247 ,-0.813 ,19.52 ,thin ,G3V ,6.28 ,0.680 ,-27.10 ,-16.70 ,-19.80 ,5713.0 ,4.41 ,1.02 ,1.04 ,
2MASS 18590984+4617058 ,-0.35 ,0.04 ,-0.42 ,0.09 ,-0.29 ,0.09 ,-0.31 ,0.07 ,-0.41 ,0.05 ,,,-0.29 ,0.06 ,-0.26 ,0.05 ,284.7910031 ,46.2849176 ,58.907 ,-223.096 ,241.330 ,333.89 ,N/A ,,,,,,,5189.5 ,,,2.82 ,
HIP 52276 ,-0.36 ,0.02 ,-0.31 ,0.01 ,-0.12 ,0.01 ,-0.27 ,0.07 ,-0.29 ,0.05 ,-0.31 ,0.09 ,-0.23 ,0.06 ,-0.19 ,0.05 ,160.2335166 ,-13.1295282 ,-50.984 ,18.322 ,-12.637 ,55.63 ,thin ,F8V ,8.12 ,0.568 ,-3.00 ,13.00 ,-7.50 ,5981.4 ,4.45 ,1.11 ,1.14 ,
HIP 52279 ,-0.22 ,0.07 ,0.38 ,0.08 ,0.20 ,0.01 ,-0.25 ,0.06 ,-0.27 ,0.05 ,,,-0.17 ,0.12 ,-0.21 ,0.05 ,160.2404458 ,-12.1956182 ,-112.805 ,40.522 ,-25.906 ,122.63 ,thin ,F7IV ,8.55 ,0.503 ,-37.70 ,20.00 ,15.50 ,6213.2 ,4.51 ,1.28 ,1.91 ,
HIP 52290 ,-0.22 ,0.04 ,,,,,-0.08 ,0.07 ,-0.20 ,0.05 ,-0.13 ,0.09 ,-0.11 ,0.06 ,-0.07 ,0.05 ,160.2641611 ,73.7716013 ,-19.368 ,6.949 ,70.696 ,73.63 ,thin ,F5 ,7.68 ,0.480 ,-38.10 ,-33.40 ,-7.70 ,6360.3 ,4.25 ,1.31 ,1.54 ,
HIP 117829 ,-0.36 ,0.04 ,0.14 ,0.09 ,0.01 ,0.09 ,-0.16 ,0.06 ,-0.20 ,0.10 ,,,-0.18 ,0.06 ,-0.34 ,0.08 ,358.4578992 ,-49.9994372 ,145.158 ,-3.908 ,-173.051 ,225.90 ,N/A ,G6PBA ,8.62 ,0.905 ,,,,5111.3 ,,,5.34 ,
HIP 85068 ,-0.04 ,0.04 ,,,,,-0.04 ,0.07 ,0.06 ,0.05 ,,,0.02 ,0.06 ,0.00 ,0.05 ,260.7796735 ,-56.5255490 ,-10.680 ,-65.790 ,-100.796 ,120.84 ,thin ,G8/K0III ,5.76 ,0.994 ,-3.80 ,6.60 ,-1.60 ,4903.7 ,2.70 ,,10.97 ,
2MASS 22001843-4749510 ,0.33 ,0.04 ,0.28 ,0.09 ,,,0.33 ,0.07 ,0.27 ,0.05 ,,,0.21 ,0.06 ,0.22 ,0.05 ,330.0768016 ,-47.8309057 ,260.700 ,-150.050 ,-332.094 ,448.07 ,N/A ,,,,,,,5248.1 ,4.46 ,0.93 ,0.94 ,
HIP 52316 ,0.04 ,0.10 ,0.00 ,0.04 ,-0.06 ,0.01 ,0.10 ,0.08 ,0.07 ,0.14 ,0.14 ,0.18 ,0.09 ,0.08 ,0.09 ,0.11 ,160.3507747 ,-1.7414920 ,-34.651 ,12.372 ,-1.119 ,36.81 ,thin ,G9IV ,6.25 ,0.880 ,-19.60 ,-48.30 ,9.90 ,5119.7 ,3.70 ,,2.67 ,
HIP 19554 ,0.07 ,0.01 ,,,0.02 ,0.09 ,0.11 ,0.04 ,0.07 ,0.05 ,,,0.15 ,0.06 ,0.17 ,0.05 ,62.8345093 ,5.5230522 ,16.801 ,32.739 ,3.558 ,36.97 ,thin ,F3V ,5.71 ,0.360 ,-41.80 ,-19.70 ,-2.00 ,6898.0 ,4.07 ,1.50 ,1.68 ,
HIP 85090 ,0.07 ,0.08 ,0.27 ,0.09 ,0.39 ,0.02 ,0.19 ,0.07 ,0.30 ,0.05 ,0.42 ,0.09 ,0.08 ,0.06 ,0.04 ,0.05 ,260.8626062 ,-3.1220937 ,-15.467 ,-96.159 ,-5.312 ,97.54 ,thin ,F7V ,7.78 ,0.605 ,-20.70 ,-18.70 ,-2.60 ,6013.8 ,3.77 ,1.12 ,2.33 ,
HIP 52325 ,-0.05 ,0.04 ,,,0.03 ,0.06 ,0.04 ,0.07 ,-0.02 ,0.05 ,,,-0.01 ,0.06 ,-0.03 ,0.05 ,160.3766630 ,-27.0776721 ,-51.335 ,18.303 ,-27.863 ,61.21 ,thin ,G6V ,9.00 ,0.703 ,-66.10 ,-56.50 ,6.70 ,5575.0 ,4.38 ,0.98 ,1.13 ,
2MASS 18532065+4710283 ,-0.53 ,0.04 ,-0.39 ,0.09 ,0.03 ,0.09 ,-0.38 ,0.07 ,-0.52 ,0.05 ,,,-0.47 ,0.06 ,-0.10 ,0.05 ,283.3360617 ,47.1745161 ,71.154 ,-300.157 ,332.826 ,453.80 ,N/A ,,,,,,,3903.0 ,3.66 ,0.59 ,0.60 ,
HIP 85103 ,-0.27 ,0.14 ,,,,,-0.29 ,0.07 ,-0.30 ,0.05 ,,,-0.30 ,0.06 ,-0.32 ,0.05 ,260.8938232 ,76.0550504 ,-17.745 ,-110.707 ,451.538 ,465.25 ,thin ,K0 ,7.22 ,1.438 ,64.60 ,-38.60 ,16.30 ,4163.0 ,,,34.97 ,
HIP 85108 ,-0.14 ,0.16 ,-0.20 ,0.09 ,-0.16 ,0.09 ,-0.07 ,0.07 ,-0.13 ,0.05 ,,,-0.08 ,0.06 ,-0.11 ,0.05 ,260.9070872 ,60.9985446 ,-14.160 ,-88.471 ,161.627 ,184.80 ,thin ,K0 ,7.15 ,1.244 ,-25.80 ,-4.80 ,8.80 ,4541.6 ,2.23 ,,15.90 ,
HIP 117877 ,0.44 ,0.04 ,0.39 ,0.09 ,0.37 ,0.09 ,0.37 ,0.07 ,0.42 ,0.05 ,,,0.44 ,0.06 ,0.40 ,0.05 ,358.6515372 ,5.0566027 ,107.759 ,-2.537 ,9.538 ,108.21 ,N/A ,G3V ,8.24 ,0.725 ,,,,5667.3 ,4.09 ,,1.68 ,
HIP 117878 ,0.24 ,0.04 ,0.28 ,0.09 ,0.02 ,0.09 ,0.22 ,0.07 ,0.29 ,0.05 ,0.08 ,0.09 ,0.13 ,0.06 ,0.27 ,0.05 ,358.6527959 ,-60.3493466 ,45.946 ,-1.081 ,-80.735 ,92.90 ,thin ,G3V ,8.94 ,0.628 ,-45.90 ,-34.60 ,-13.10 ,5942.4 ,4.22 ,1.10 ,1.34 ,
HIP 117880 ,0.20 ,0.06 ,0.12 ,0.09 ,-0.02 ,0.04 ,0.17 ,0.08 ,0.15 ,0.01 ,0.01 ,0.09 ,0.22 ,0.10 ,0.15 ,0.08 ,358.6609214 ,-40.3000616 ,21.120 ,-0.494 ,-17.916 ,27.70 ,thin ,F9-V ,6.03 ,0.572 ,-46.40 ,-16.50 ,-2.70 ,6106.7 ,4.09 ,1.15 ,1.44 ,
2MASS 19511083+4025037 ,0.13 ,0.04 ,0.08 ,0.09 ,0.03 ,0.09 ,0.11 ,0.07 ,0.10 ,0.05 ,,,0.14 ,0.06 ,0.07 ,0.05 ,297.7951051 ,40.4176860 ,204.343 ,-387.652 ,373.181 ,575.58 ,N/A ,,,,,,,5063.7 ,4.35 ,0.97 ,0.95 ,
HIP 117883 ,0.12 ,0.10 ,0.23 ,0.04 ,0.15 ,0.09 ,0.30 ,0.08 ,0.22 ,0.05 ,0.46 ,0.09 ,0.22 ,0.06 ,0.19 ,0.05 ,358.6675305 ,-37.6279234 ,60.056 ,-1.397 ,-46.309 ,75.85 ,N/A ,G8 ,9.79 ,0.815 ,,,,5339.0 ,4.42 ,0.93 ,0.98 ,
HIP 52353 ,0.12 ,0.08 ,0.05 ,0.09 ,0.00 ,0.09 ,0.44 ,0.07 ,0.45 ,0.05 ,1.25 ,0.09 ,0.20 ,0.06 ,0.21 ,0.05 ,160.4858119 ,65.7162809 ,-26.944 ,9.549 ,63.360 ,69.51 ,thin ,K2III ,5.12 ,1.207 ,-36.50 ,-42.30 ,-25.40 ,4500.0 ,2.24 ,,11.57 ,
2MASS 19140928+4036581 ,-0.13 ,0.04 ,0.04 ,0.09 ,0.02 ,0.09 ,-0.03 ,0.07 ,-0.15 ,0.05 ,,,-0.04 ,0.06 ,-0.03 ,0.05 ,288.5386960 ,40.6161425 ,187.209 ,-558.255 ,504.958 ,775.68 ,N/A ,,,,,,,4923.0 ,4.45 ,0.81 ,0.79 ,
HIP 117895 ,-0.18 ,0.02 ,-0.17 ,0.09 ,,,-0.21 ,0.07 ,-0.20 ,0.05 ,,,-0.12 ,0.06 ,-0.07 ,0.05 ,358.7087023 ,-47.8079267 ,35.849 ,-0.808 ,-39.557 ,53.39 ,thin ,K0V ,9.48 ,0.825 ,-5.80 ,8.60 ,-13.90 ,5094.4 ,4.43 ,0.89 ,0.76 ,
HD 190942 ,-0.10 ,0.04 ,0.05 ,0.09 ,0.12 ,0.09 ,-0.01 ,0.07 ,0.01 ,0.05 ,,,-0.07 ,0.06 ,-0.11 ,0.05 ,301.1656772 ,55.9218533 ,103.271 ,-170.752 ,294.979 ,356.14 ,N/A ,,,,,,,4595.2 ,,,18.60 ,
HIP 117902 ,0.18 ,0.11 ,0.19 ,0.04 ,0.26 ,0.07 ,0.27 ,0.01 ,0.21 ,0.05 ,0.13 ,0.09 ,0.17 ,0.03 ,0.24 ,0.04 ,358.7209767 ,-0.2859828 ,53.296 ,-1.190 ,-0.266 ,53.31 ,thin ,G8IV(+G) ,8.36 ,0.734 ,-20.80 ,-60.30 ,-1.40 ,5581.0 ,4.33 ,0.99 ,1.18 ,
HIP 19601 ,0.15 ,0.01 ,-0.12 ,0.02 ,0.04 ,0.04 ,0.30 ,0.07 ,0.22 ,0.04 ,0.52 ,0.09 ,0.16 ,0.06 ,0.12 ,0.05 ,63.0011322 ,-17.2747328 ,47.589 ,93.403 ,-32.600 ,109.78 ,N/A ,K0III ,6.41 ,0.968 ,,,,5002.0 ,2.83 ,,8.35 ,
HIP 52369 ,-0.08 ,0.08 ,-0.12 ,0.08 ,-0.15 ,0.13 ,-0.04 ,0.08 ,-0.11 ,0.04 ,-0.22 ,0.06 ,-0.04 ,0.10 ,-0.06 ,0.18 ,160.5555037 ,-13.7877142 ,-21.814 ,7.701 ,-5.677 ,23.82 ,thin ,G1.5V ,6.79 ,0.622 ,34.70 ,9.30 ,-10.50 ,5829.2 ,4.48 ,1.04 ,0.97 ,
HIP 19614 ,-0.16 ,0.04 ,-0.37 ,0.09 ,-0.27 ,0.09 ,-0.22 ,0.07 ,-0.38 ,0.05 ,,,-0.17 ,0.06 ,-0.20 ,0.05 ,63.0466543 ,-13.6371752 ,70.557 ,138.755 ,-37.766 ,160.18 ,thin ,G8III/IV ,8.00 ,0.930 ,-15.00 ,-42.30 ,24.40 ,4963.6 ,3.03 ,,6.29 ,
HD 125906a ,-0.21 ,0.01 ,-0.10 ,0.01 ,-0.26 ,0.09 ,-0.17 ,0.02 ,-0.20 ,0.03 ,-0.33 ,0.06 ,-0.17 ,0.02 ,-0.17 ,0.07 ,215.6610895 ,-7.7681767 ,-33.821 ,-24.268 ,-5.679 ,42.01 ,N/A ,,,,,,,5981.0 ,4.42 ,1.12 ,1.09 ,
HIP 85158 ,-0.05 ,0.06 ,-0.02 ,0.06 ,-0.06 ,0.08 ,-0.04 ,0.07 ,-0.05 ,0.04 ,-0.14 ,0.05 ,-0.01 ,0.08 ,-0.05 ,0.07 ,261.0364141 ,-34.7984559 ,-4.126 ,-26.159 ,-18.405 ,32.25 ,thin ,F9.5V ,6.92 ,0.588 ,-26.90 ,-19.90 ,-16.00 ,6055.0 ,4.37 ,1.09 ,1.19 ,
HIP 85160 ,0.06 ,0.04 ,,,,,0.06 ,0.07 ,0.09 ,0.05 ,,,0.09 ,0.06 ,0.01 ,0.05 ,261.0463576 ,36.9228575 ,-26.522 ,-168.333 ,128.054 ,213.16 ,thin ,K0 ,7.20 ,0.976 ,-26.30 ,-21.70 ,-4.30 ,4944.6 ,,,9.08 ,
2MASS 19393351+4922471 ,-0.18 ,0.04 ,-0.18 ,0.09 ,-0.23 ,0.09 ,-0.11 ,0.07 ,-0.22 ,0.05 ,,,-0.02 ,0.06 ,-0.14 ,0.05 ,294.8896171 ,49.3797640 ,113.772 ,-245.217 ,315.168 ,415.22 ,N/A ,,,,,,,5031.8 ,4.44 ,0.86 ,0.75 ,
HD 27835 ,0.14 ,0.04 ,,,,,0.07 ,0.07 ,0.11 ,0.05 ,,,0.14 ,0.06 ,0.08 ,0.05 ,66.0532661 ,16.3789302 ,22.481 ,50.621 ,16.280 ,57.73 ,N/A ,,,,,,,6019.8 ,4.40 ,1.14 ,1.09 ,
HIP 19631 ,-0.40 ,0.05 ,-0.02 ,0.09 ,-0.04 ,0.10 ,-0.27 ,0.07 ,-0.23 ,0.05 ,-0.11 ,0.09 ,-0.31 ,0.06 ,-0.38 ,0.05 ,63.0955833 ,37.7120930 ,26.723 ,52.663 ,45.663 ,74.65 ,thick ,G0 ,8.15 ,0.617 ,49.00 ,-22.90 ,64.70 ,5776.1 ,4.01 ,1.06 ,1.45 ,
HD 114678 ,-0.45 ,0.01 ,,,,,-0.28 ,0.07 ,-0.25 ,0.05 ,,,-0.18 ,0.06 ,-0.38 ,0.05 ,198.0311856 ,-4.1086339 ,-374.411 ,-121.879 ,-28.284 ,394.76 ,N/A ,,,,,,,5137.0 ,,,8.39 ,
HIP 19633 ,0.32 ,0.02 ,0.35 ,0.06 ,0.30 ,0.09 ,0.37 ,0.07 ,0.35 ,0.05 ,0.19 ,0.09 ,0.31 ,0.06 ,0.40 ,0.05 ,63.0987709 ,-31.5811008 ,21.269 ,41.921 ,-28.898 ,55.18 ,thin ,G5IV ,7.44 ,0.735 ,-4.80 ,-57.60 ,7.20 ,5627.5 ,4.17 ,1.01 ,1.71 ,
HIP 85170 ,-0.20 ,0.12 ,-0.41 ,0.09 ,-0.17 ,0.09 ,-0.28 ,0.07 ,-0.30 ,0.05 ,,,-0.21 ,0.06 ,-0.30 ,0.05 ,261.0818706 ,72.9357709 ,-12.930 ,-82.397 ,271.717 ,284.23 ,thin ,K0 ,7.84 ,0.988 ,-8.10 ,-18.80 ,-20.10 ,4824.3 ,,,12.16 ,
HIP 117938 ,0.11 ,0.04 ,,,,,0.19 ,0.07 ,0.16 ,0.05 ,,,0.01 ,0.06 ,0.00 ,0.05 ,358.8444013 ,32.8920197 ,242.043 ,-4.882 ,156.569 ,288.31 ,thin ,K0 ,7.38 ,1.307 ,20.50 ,0.50 ,-4.20 ,4346.2 ,,,21.54 ,
HIP 19641 ,0.11 ,0.01 ,-0.12 ,0.04 ,0.04 ,0.07 ,0.16 ,0.04 ,0.19 ,0.08 ,0.72 ,0.09 ,0.08 ,0.09 ,0.09 ,0.05 ,63.1306447 ,17.2774601 ,44.714 ,88.254 ,30.772 ,103.61 ,thin ,K0III ,6.09 ,1.081 ,-29.50 ,-21.80 ,0.30 ,4764.4 ,2.44 ,,16.01 ,
HIP 52409 ,0.31 ,0.18 ,0.29 ,0.21 ,0.14 ,0.18 ,0.33 ,0.30 ,0.29 ,0.14 ,0.20 ,0.17 ,0.29 ,0.12 ,0.33 ,0.16 ,160.7021992 ,-2.1837570 ,-33.415 ,11.700 ,-1.350 ,35.43 ,thin ,G6V ,7.31 ,0.694 ,17.50 ,-24.70 ,-22.50 ,5722.0 ,4.37 ,1.02 ,1.15 ,
HIP 117946 ,0.03 ,0.04 ,0.08 ,0.09 ,-0.02 ,0.09 ,-0.06 ,0.07 ,0.10 ,0.05 ,,,0.09 ,0.06 ,-0.02 ,0.05 ,358.8608273 ,22.1932829 ,23.662 ,-0.471 ,9.655 ,25.56 ,thin ,K3V ,8.77 ,1.020 ,-13.00 ,-28.30 ,-11.00 ,4846.3 ,4.54 ,0.77 ,0.71 ,
HIP 117953 ,-0.06 ,0.06 ,-0.01 ,0.09 ,0.07 ,0.09 ,-0.03 ,0.07 ,-0.01 ,0.05 ,,,-0.06 ,0.06 ,0.03 ,0.07 ,358.8850797 ,3.5014447 ,30.098 ,-0.586 ,1.842 ,30.16 ,thin ,G6V ,7.72 ,0.751 ,45.40 ,-8.90 ,-27.40 ,5448.0 ,4.58 ,0.96 ,0.93 ,
HIP 117954 ,0.10 ,0.04 ,,,,,0.16 ,0.07 ,0.12 ,0.05 ,,,0.03 ,0.06 ,0.04 ,0.05 ,358.8859269 ,52.7355813 ,80.249 ,-1.561 ,105.498 ,132.56 ,thin ,K2III ,6.61 ,1.202 ,-38.20 ,-17.30 ,3.00 ,4618.7 ,,,12.16 ,
HIP 117958 ,0.07 ,0.04 ,-0.19 ,0.09 ,,,-0.04 ,0.07 ,0.05 ,0.05 ,-0.24 ,0.09 ,0.03 ,0.06 ,0.13 ,0.05 ,358.8957001 ,-20.9531663 ,39.355 ,-0.759 ,-15.073 ,42.15 ,thin ,G1V ,7.88 ,0.640 ,-0.70 ,6.10 ,-14.50 ,5807.0 ,4.48 ,1.04 ,0.97 ,
2MASS 19132276+4901189 ,0.04 ,0.04 ,0.04 ,0.09 ,0.10 ,0.09 ,-0.04 ,0.07 ,0.00 ,0.05 ,,,0.05 ,0.06 ,0.02 ,0.05 ,288.3448758 ,49.0219249 ,101.582 ,-306.350 ,371.572 ,492.17 ,N/A ,,,,,,,5986.0 ,4.08 ,1.13 ,1.41 ,
HIP 117960 ,0.20 ,0.13 ,,,,,0.21 ,0.07 ,0.13 ,0.01 ,,,0.12 ,0.06 ,0.18 ,0.08 ,358.9001452 ,0.6958517 ,44.688 ,-0.858 ,0.543 ,44.70 ,N/A ,K1IV ,9.23 ,0.861 ,,,,5228.0 ,4.45 ,,0.84 ,
HIP 117961 ,0.08 ,0.02 ,,,-0.06 ,0.09 ,0.11 ,0.07 ,0.03 ,0.05 ,,,0.08 ,0.06 ,0.00 ,0.05 ,358.9063120 ,-51.3742595 ,60.689 ,-1.159 ,-75.968 ,97.24 ,thin ,G5V ,8.52 ,0.697 ,-39.90 ,-73.60 ,-26.60 ,5627.5 ,3.91 ,1.00 ,1.73 ,
HIP 19658 ,0.15 ,0.04 ,0.01 ,0.09 ,0.36 ,0.09 ,0.03 ,0.07 ,0.11 ,0.05 ,-0.08 ,0.09 ,0.20 ,0.06 ,0.14 ,0.05 ,63.1822569 ,-47.5657095 ,18.371 ,36.341 ,-44.541 ,60.35 ,N/A ,G3V ,8.73 ,0.663 ,,,,5771.8 ,4.45 ,1.04 ,1.00 ,
