# Table 6 from https://ui.adsabs.harvard.edu/abs/2021ApJ...923...65F/abstract
# These are derived from emission lines (?) of early type (elliptical?) galaxies
# Stellar Population Results as a Function of Galaxy Radius r/R _e, where We Take the Slit Width into Account, and Distance from the Galaxy Center along the Slit x/R _e


r/R _e	x/R _e	sigma	t	[Z/H]	IMF	[O/Fe]	[Mg/Fe]	[Si/Fe]	[Ca/Fe]	[Ti/Fe]	[Fe/H]	[Na/Fe]	[C/Fe]	[N/Fe]	
		(km s^-1)	(Gyr)	(dex)		(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	
NGC 4552		
M89	
0.008	0.004	${257}_{-3}^{+2}$	${9.9}_{-1.3}^{+1.3}$	${0.17}_{-0.03}^{+0.03}$	${2.5}_{-0.3}^{+0.3}$	${0.36}_{-0.03}^{+0.03}$	${0.20}_{-0.02}^{+0.02}$	${0.16}_{-0.04}^{+0.04}$	$-{0.02}_{-0.04}^{+0.04}$	${0.03}_{-0.05}^{+0.05}$	${0.02}_{-0.02}^{+0.02}$	${0.53}_{-0.03}^{+0.03}$	${0.16}_{-0.02}^{+0.02}$	${0.19}_{-0.04}^{+0.04}$	
0.023	0.022	${254}_{-3}^{+3}$	${10.1}_{-1.4}^{+1.3}$	${0.14}_{-0.03}^{+0.03}$	${2.5}_{-0.3}^{+0.3}$	${0.36}_{-0.03}^{+0.03}$	${0.20}_{-0.03}^{+0.03}$	${0.15}_{-0.04}^{+0.04}$	$-{0.01}_{-0.04}^{+0.04}$	${0.03}_{-0.05}^{+0.05}$	${0.01}_{-0.02}^{+0.02}$	${0.53}_{-0.03}^{+0.03}$	${0.17}_{-0.03}^{+0.02}$	${0.19}_{-0.04}^{+0.04}$	
0.080	0.080	${240}_{-3}^{+3}$	${9.8}_{-1.5}^{+1.4}$	${0.05}_{-0.04}^{+0.05}$	${2.4}_{-0.3}^{+0.3}$	${0.38}_{-0.04}^{+0.03}$	${0.19}_{-0.03}^{+0.03}$	${0.14}_{-0.05}^{+0.05}$	${0.01}_{-0.05}^{+0.05}$	$-{0.03}_{-0.07}^{+0.06}$	$-{0.00}_{-0.03}^{+0.02}$	${0.51}_{-0.05}^{+0.04}$	${0.18}_{-0.03}^{+0.03}$	${0.21}_{-0.05}^{+0.05}$	
0.188	0.188	${216}_{-2}^{+2}$	${10.0}_{-0.6}^{+0.6}$	$-{0.10}_{-0.02}^{+0.02}$	${2.2}_{-0.3}^{+0.2}$	${0.43}_{-0.04}^{+0.03}$	${0.17}_{-0.04}^{+0.04}$	${0.15}_{-0.05}^{+0.04}$	${0.00}_{-0.05}^{+0.05}$	$-{0.04}_{-0.06}^{+0.06}$	$-{0.02}_{-0.03}^{+0.03}$	${0.39}_{-0.08}^{+0.07}$	${0.20}_{-0.03}^{+0.03}$	${0.24}_{-0.06}^{+0.06}$	
0.375	0.375	${212}_{-4}^{+4}$	${9.2}_{-1.1}^{+1.1}$	$-{0.22}_{-0.02}^{+0.02}$	${2.0}_{-0.3}^{+0.2}$	${0.47}_{-0.03}^{+0.03}$	${0.17}_{-0.04}^{+0.04}$	${0.11}_{-0.06}^{+0.05}$	$-{0.02}_{-0.05}^{+0.05}$	$-{0.07}_{-0.06}^{+0.06}$	$-{0.04}_{-0.03}^{+0.03}$	${0.37}_{-0.04}^{+0.04}$	${0.22}_{-0.03}^{+0.03}$	${0.23}_{-0.09}^{+0.08}$	
0.625	0.625	${205}_{-5}^{+5}$	${8.1}_{-1.6}^{+1.6}$	$-{0.29}_{-0.04}^{+0.03}$	${2.1}_{-0.2}^{+0.2}$	${0.50}_{-0.04}^{+0.03}$	${0.18}_{-0.05}^{+0.05}$	${0.06}_{-0.07}^{+0.07}$	$-{0.02}_{-0.05}^{+0.05}$	$-{0.08}_{-0.06}^{+0.06}$	$-{0.07}_{-0.03}^{+0.03}$	${0.36}_{-0.04}^{+0.04}$	${0.23}_{-0.03}^{+0.03}$	${0.30}_{-0.10}^{+0.10}$	
0.875	0.875	${197}_{-5}^{+5}$	${7.8}_{-1.8}^{+1.8}$	$-{0.35}_{-0.04}^{+0.04}$	${1.8}_{-0.3}^{+0.3}$	${0.53}_{-0.03}^{+0.03}$	${0.21}_{-0.05}^{+0.05}$	${0.04}_{-0.07}^{+0.07}$	$-{0.02}_{-0.05}^{+0.05}$	$-{0.11}_{-0.05}^{+0.05}$	$-{0.10}_{-0.02}^{+0.02}$	${0.35}_{-0.04}^{+0.04}$	${0.26}_{-0.03}^{+0.03}$	${0.34}_{-0.17}^{+0.17}$	
															
NGC4697															
0.010	0.005	${165}_{-2}^{+2}$	${9.2}_{-0.7}^{+0.7}$	${0.18}_{-0.02}^{+0.02}$	${2.1}_{-0.3}^{+0.3}$	${0.36}_{-0.04}^{+0.04}$	${0.22}_{-0.04}^{+0.04}$	${0.09}_{-0.04}^{+0.04}$	${0.06}_{-0.03}^{+0.03}$	${0.07}_{-0.04}^{+0.04}$	$-{0.05}_{-0.03}^{+0.03}$	${0.36}_{-0.04}^{+0.04}$	${0.22}_{-0.03}^{+0.03}$	${0.11}_{-0.06}^{+0.06}$	
