,zone,R,cdf
157,157,15.75,0.9999376364203306
158,158,15.85,0.9999376364203306
159,159,15.95,0.9999376364203306
160,160,16.05,0.9999376364203306
161,161,16.15,0.9999376364203306
162,162,16.25,0.9999376364203306
163,163,16.35,0.9999376364203306
164,164,16.45,0.9999376364203306
165,165,16.55,0.9999376364203306
166,166,16.65,0.9999376364203306
167,167,16.75,0.9999376364203306
168,168,16.85,0.9999376364203306
169,169,16.95,0.9999376364203306
170,170,17.05,0.9999376364203306
171,171,17.15,0.9999376364203306
172,172,17.25,0.9999376364203306
173,173,17.35,0.9999376364203306
174,174,17.45,0.9999376364203306
175,175,17.55,0.9999376364203306
176,176,17.65,0.9999376364203306
177,177,17.75,0.9999376364203306
178,178,17.85,0.9999376364203306
179,179,17.95,0.9999376364203306
180,180,18.05,0.9999376364203306
181,181,18.15,0.9999376364203306
182,182,18.25,0.9999376364203306
183,183,18.35,0.9999376364203306
184,184,18.45,0.9999376364203306
185,185,18.55,0.9999376364203306
186,186,18.65,0.9999376364203306
187,187,18.75,0.9999376364203306
188,188,18.85,0.9999376364203306
189,189,18.95,1.0
190,190,19.05,1.0
191,191,19.15,1.0
192,192,19.25,1.0
193,193,19.35,1.0
194,194,19.45,1.0
195,195,19.55,1.0
196,196,19.65,1.0
197,197,19.75,1.0
198,198,19.85,1.0
199,199,19.95,1.0
