,region,galaxy,class,log_O_H,log_O_H_err,T_e,T_e_err,ICF_C_O,ICF_C_O_err,log_C_O,log_C_O_err,study,id,eps_O,eps_O_err,C_O,C_O_err,O_H,O_H_err,eps_o,eps_o_err,log_c_o,log_c_o_err,eps_c,eps_c_err,C_H,C_H_err
59,,Mrk 5,,,,,,,,,,pena-guerreno+17,,,,-0.7796297898192552,0.29000000000000004,-0.8537890187797057,0.1,7.96,0.1,,,6.97,0.19,-1.633418808598961,0.19
60,,Mrk 1199,,,,,,,,,,pena-guerreno+17,,,,0.7903702101807433,0.45,-0.4837890187797047,0.22,8.33,0.22,,,8.91,0.23,0.30658119140103857,0.23
61,,IRAS 08208+2816,,,,,,,,,,pena-guerreno+17,,,,-0.6796297898192556,0.26,-0.38378901877970506,0.11,8.43,0.11,,,7.54,0.15,-1.0634188085989607,0.15
62,,IRAS 08339+6517,,,,,,,,,,pena-guerreno+17,,,,0.060370210180742845,0.26,-0.39378901877970485,0.07,8.42,0.07,,,8.27,0.19,-0.333418808598962,0.19
63,,SBS 0926+606A,,,,,,,,,,pena-guerreno+17,,,,-0.4796297898192563,0.24,-0.8337890187797043,0.09,7.98,0.09,,,7.29,0.15,-1.3134188085989607,0.15
64,,ARP 252,,,,,,,,,,pena-guerreno+17,,,,0.060370210180742845,0.33999999999999997,-0.683789018779704,0.15,8.13,0.15,,,7.98,0.19,-0.6234188085989611,0.19
65,,SBS 0948+532,,,,,,,,,,pena-guerreno+17,,,,-0.4896297898192561,0.24,-0.7837890187797054,0.09,8.03,0.09,,,7.33,0.15,-1.2734188085989615,0.15
66,,Tol 9,,,,,,,,,,pena-guerreno+17,,,,0.17037021018074228,0.36,-0.2337890187797047,0.15,8.58,0.15,,,8.54,0.21,-0.06341880859896243,0.21
67,,SBS 1054+365,,,,,,,,,,pena-guerreno+17,,,,-0.4196297898192558,0.2,-0.7037890187797053,0.09,8.11,0.09,,,7.48,0.11,-1.1234188085989611,0.11
68,,POX 4,,,,,,,,,,pena-guerreno+17,,,,-0.4796297898192563,0.13,-0.7637890187797041,0.05,8.05,0.05,,,7.36,0.08,-1.2434188085989604,0.08
69,,SBS 1319+579,,,,,,,,,,pena-guerreno+17,,,,-0.31962978981925616,0.26,-0.6237890187797053,0.09,8.19,0.09,,,7.66,0.17,-0.9434188085989614,0.17
70,,SBS 1415+437,,,,,,,,,,pena-guerreno+17,,,,-1.4296297898192556,0.3,-1.253789018779706,0.09,7.56,0.09,,,5.92,0.21,-2.6834188085989616,0.21
71,,Tol 1457-262,,,,,,,,,,pena-guerreno+17,,,,-1.2196297898192565,0.45999999999999996,-0.9837890187797047,0.16,7.83,0.16,,,6.4,0.3,-2.203418808598961,0.3
72,,III Zw 107,,,,,,,,,,pena-guerreno+17,,,,-0.9596297898192585,0.28,-0.5937890187797041,0.1,8.22,0.1,,,7.05,0.18,-1.5534188085989626,0.18
