,Star,Pop,Nplanet,Maxmass,Teff,logg,vmic,[Fe/H]3L,e_[Fe/H]3L,[Fe/H]1L,e_[Fe/H]1L,[C/H]3N,e_[C/H]3N,[C/H]1N,e_[C/H]1N,[C/H]3L,e_[C/H]3L,[C/H]1L,e_[C/H]1L,[O/H]3N,e_[O/H]3N,[O/H]1N,e_[O/H]1N,[O/H]3L,e_[O/H]3L,[O/H]1L,e_[O/H]1L,SimbadName,_RA,_DE,FE_H,FE_H_err,O_H,O_H_err,C_H,C_H_err,C_O,C_O_err,O_FE,O_FE_err
21,hd160693  ,high-alpha,0,0.0,5809,4.35,1.02,-0.5057,0.0124,-0.5036,0.0134,-0.3881,0.0034,-0.3742,0.0048,-0.3838,0.0031,-0.3715,0.0045,-0.0907,0.0117,-0.0974,0.0102,-0.0814,0.0143,-0.0923,0.0124,HD160693         ,264.90363,37.18375,-0.5057,0.0124,-0.0907,0.0117,-0.3881,0.0034,-0.2974,0.0151,0.41500000000000004,0.0241
22,hd159482  ,high-alpha,0,0.0,5829,4.37,1.21,-0.7265,0.0081,-0.7411,0.0082,-0.5612,0.0126,-0.5475,0.0106,-0.5533,0.0131,-0.542,0.011,-0.171,0.0106,-0.1906,0.0127,-0.1725,0.0113,-0.2017,0.0139,HD159482         ,263.67952,6.01438,-0.7265,0.0081,-0.171,0.0106,-0.5612,0.0126,-0.3902,0.0232,0.5555,0.0187
23,hd148816  ,high-alpha,0,0.0,5923,4.17,1.33,-0.7398,0.012,-0.7541,0.0115,-0.5463,0.0003,-0.5349,0.0008,-0.5341,0.0005,-0.5265,0.0005,-0.2639,0.0113,-0.2798,0.007,-0.202,0.0185,-0.2423,0.0128,HD148816         ,247.61858,4.17822,-0.7398,0.012,-0.2639,0.0113,-0.5463,0.0003,-0.2824,0.0116,0.4759,0.0233
24,hd132475  ,high-alpha,0,0.0,5750,3.77,1.37,-1.5091,0.0148,-1.5356,0.0136,-1.3963,0.0173,-1.3686,0.0221,-1.3629,0.0151,-1.3465,0.0205,-0.7985,0.0067,-0.7891,0.0081,-0.8127,0.0126,-0.816,0.0107,HD132475         ,224.95735,-22.01273,-1.5091,0.0148,-0.7985,0.0067,-1.3963,0.0173,-0.5978000000000001,0.024,0.7106000000000001,0.021500000000000002
25,hd179626  ,high-alpha,0,0.0,5925,4.14,1.49,-1.0385,0.0118,-1.072,0.0167,-0.9039,0.0082,-0.944,0.0409,-0.8558,0.0186,-0.8983,0.0234,-0.4629,0.0111,-0.4846,0.01,-0.4215,0.0133,-0.4766,0.0151,HD179626         ,288.33633,-0.59509,-1.0385,0.0118,-0.4629,0.0111,-0.9039,0.0082,-0.44100000000000006,0.0193,0.5756,0.0229
26,hd121004  ,high-alpha,0,0.0,5755,4.43,1.16,-0.704,0.0101,-0.7181,0.0098,-0.5389,0.0152,-0.5263,0.0131,-0.5335,0.0157,-0.5225,0.0135,-0.2011,0.0103,-0.2168,0.0077,-0.2361,0.0095,-0.2553,0.0067,HD121004         ,208.49215,-46.53876,-0.704,0.0101,-0.2011,0.0103,-0.5389,0.0152,-0.33780000000000004,0.025500000000000002,0.5028999999999999,0.0204
27,hd113679  ,high-alpha,0,0.0,5761,4.05,1.37,-0.6455,0.0102,-0.6637,0.0108,-0.5508,0.0036,-0.5327,0.0027,-0.5406,0.0038,-0.526,0.003,-0.1898,0.0094,-0.1964,0.0073,-0.1367,0.0144,-0.1693,0.01,HD113679         ,196.4701,-38.51666,-0.6455,0.0102,-0.1898,0.0094,-0.5508,0.0036,-0.361,0.013000000000000001,0.4557,0.0196
28,hd111980  ,high-alpha,0,0.0,5878,3.98,1.39,-1.0764,0.019,-1.0944,0.0192,-0.9478,0.0302,-0.9301,0.0267,-0.9306,0.0314,-0.9175,0.0275,-0.4484,0.0047,-0.4558,0.0013,-0.3855,0.0131,-0.4307,0.0058,HD111980         ,193.31272,-18.52222,-1.0764,0.019,-0.4484,0.0047,-0.9478,0.0302,-0.49939999999999996,0.0349,0.628,0.0237
29,hd51754  ,high-alpha,0,0.0,5857,4.35,1.3,-0.566,0.008,-0.5871,0.007,-0.4042,0.0029,-0.3938,0.0033,-0.3984,0.0026,-0.39,0.003,-0.1389,0.0233,-0.162,0.0202,-0.1226,0.0267,-0.1567,0.0232,HD51754          ,104.66058,-0.48047,-0.566,0.008,-0.1389,0.0233,-0.4042,0.0029,-0.2653,0.0262,0.4270999999999999,0.0313
30,hd237822  ,high-alpha,0,0.0,5675,4.41,0.99,-0.4747,0.0157,-0.4757,0.0158,-0.2374,0.0305,-0.2321,0.0292,-0.2361,0.0309,-0.2315,0.0295,,,,,,,,,HD237822         ,144.20634,57.91139,-0.4747,0.0157,,,-0.2374,0.0305,,,,
