,Star,Pop,Nplanet,Maxmass,Teff,logg,vmic,[Fe/H]3L,e_[Fe/H]3L,[Fe/H]1L,e_[Fe/H]1L,[C/H]3N,e_[C/H]3N,[C/H]1N,e_[C/H]1N,[C/H]3L,e_[C/H]3L,[C/H]1L,e_[C/H]1L,[O/H]3N,e_[O/H]3N,[O/H]1N,e_[O/H]1N,[O/H]3L,e_[O/H]3L,[O/H]1L,e_[O/H]1L,SimbadName,_RA,_DE,FE_H,FE_H_err,O_H,O_H_err,C_H,C_H_err,C_O,C_O_err,O_FE,O_FE_err
115,hd96423  ,thin,0,0.0,5689,4.39,0.96,0.1401,0.0048,0.1446,0.0049,0.0813,0.0135,0.0823,0.0133,0.0814,0.0137,0.0825,0.0135,0.1092,0.0197,0.1118,0.0194,0.1049,0.0212,0.111,0.0207,HD96423          ,166.58227,-44.37332,0.1401,0.0048,0.1092,0.0197,0.0813,0.0135,-0.027900000000000008,0.0332,-0.030899999999999997,0.024499999999999997
116,hd102365  ,thin,1,0.05,5690,4.46,0.91,-0.3112,0.0055,-0.3088,0.0055,-0.1967,0.0155,-0.1939,0.0147,-0.1964,0.0158,-0.194,0.015,-0.1639,0.0073,-0.1687,0.0068,-0.2124,0.0051,-0.2103,0.0048,HD102365         ,176.62947,-40.50036,-0.3112,0.0055,-0.1639,0.0073,-0.1967,0.0155,-0.032800000000000024,0.0228,0.1473,0.012799999999999999
117,hd108147  ,thin,1,0.261,6218,4.39,1.35,0.2031,0.0124,0.1691,0.0116,0.0569,0.0132,0.0479,0.0112,0.0627,0.0145,0.052,0.012,0.0442,0.0177,0.0148,0.014,0.1868,0.0211,0.137,0.0195,HD108147         ,186.44278,-64.02209,0.2031,0.0124,0.0442,0.0177,0.0569,0.0132,0.012699999999999996,0.0309,-0.15889999999999999,0.030100000000000002
118,hd110668  ,thin,0,0.0,5808,4.39,1.08,0.1816,0.0053,0.1726,0.0054,0.1851,0.0201,0.1821,0.0191,0.1871,0.0208,0.1835,0.0195,0.1745,0.0172,0.1691,0.0169,0.2109,0.0199,0.201,0.0191,HD110668         ,190.99318,-35.12311,0.1816,0.0053,0.1745,0.0172,0.1851,0.0201,0.010599999999999998,0.0373,-0.007100000000000023,0.0225
119,hd114613  ,thin,1,0.357,5700,3.9,1.33,0.1815,0.0088,0.1291,0.0056,0.1015,0.0261,0.1056,0.0238,0.1097,0.0281,0.111,0.025,0.0671,0.0213,0.0666,0.0222,0.1719,0.0195,0.1527,0.0201,HD114613         ,198.01326,-37.80302,0.1815,0.0088,0.0671,0.0213,0.1015,0.0261,0.0344,0.0474,-0.11439999999999999,0.030100000000000002
120,hd114729  ,thin,1,0.825,5790,4.07,1.27,-0.2707,0.0083,-0.2853,0.006,-0.2378,0.0029,-0.2181,0.0034,-0.2318,0.0033,-0.2145,0.0035,-0.1229,0.0077,-0.1198,0.0088,-0.0573,0.0067,-0.0703,0.0073,HD114729         ,198.1844,-31.87335,-0.2707,0.0083,-0.1229,0.0077,-0.2378,0.0029,-0.11490000000000002,0.0106,0.1478,0.016
121,hd114853  ,thin,0,0.0,5744,4.46,0.97,-0.2257,0.0057,-0.2259,0.0057,-0.2604,0.0096,-0.255,0.0086,-0.2599,0.01,-0.255,0.009,-0.1836,0.0104,-0.1875,0.0098,-0.22,0.0108,-0.2197,0.0103,HD114853         ,198.46761,-45.1858,-0.2257,0.0057,-0.1836,0.0104,-0.2604,0.0096,-0.07680000000000001,0.019999999999999997,0.0421,0.0161
122,hd115617  ,thin,3,0.072,5534,4.41,0.91,-0.0137,0.005,-0.0148,0.0047,-0.0306,0.0006,-0.0326,0.0008,-0.0326,0.0009,-0.034,0.001,-0.0183,0.0441,-0.0198,0.0446,-0.078,0.0457,-0.0643,0.0454,HD115617         ,199.60131,-18.3112,-0.0137,0.005,-0.0183,0.0441,-0.0306,0.0006,-0.012299999999999998,0.044700000000000004,-0.0046,0.0491
123,hd117207  ,thin,1,1.926,5632,4.34,0.97,0.2541,0.0079,0.2582,0.0076,0.2015,0.0149,0.2025,0.0147,0.2022,0.0153,0.203,0.015,0.1824,0.0197,0.1854,0.0191,0.1733,0.0211,0.1847,0.0203,HD117207         ,202.33797,-35.571,0.2541,0.0079,0.1824,0.0197,0.2015,0.0149,0.019100000000000006,0.0346,-0.07169999999999999,0.0276
124,hd117618  ,thin,1,0.174,5962,4.32,1.18,0.0208,0.0051,0.0102,0.005,0.0047,0.0019,0.011,0.0019,0.0081,0.0013,0.0135,0.0015,-0.0168,0.0209,-0.0211,0.0191,0.0652,0.0296,0.0457,0.0265,HD117618         ,203.10648,-47.27136,0.0208,0.0051,-0.0168,0.0209,0.0047,0.0019,0.0215,0.022799999999999997,-0.037599999999999995,0.026
125,hd125184  ,thin,0,0.0,5610,4.07,1.14,0.3538,0.0102,0.3317,0.0098,0.2656,0.0048,0.2645,0.0037,0.2703,0.006,0.2675,0.0045,0.2359,0.0158,0.2332,0.0158,0.2754,0.0174,0.2743,0.0167,HD125184         ,214.50303,-7.54239,0.3538,0.0102,0.2359,0.0158,0.2656,0.0048,0.029700000000000004,0.0206,-0.1179,0.026000000000000002
126,hd125612  ,thin,3,7.28,5872,4.45,1.13,0.2944,0.0052,0.2757,0.0046,0.1061,0.0086,0.1018,0.0077,0.1078,0.009,0.103,0.008,0.1478,0.0088,0.1355,0.0075,0.1818,0.0083,0.167,0.0081,HD125612         ,215.22299,-17.48152,0.2944,0.0052,0.1478,0.0088,0.1061,0.0086,-0.04169999999999999,0.0174,-0.1466,0.014
127,hd126525  ,thin,1,0.237,5650,4.41,0.92,-0.1022,0.0059,-0.098,0.0057,-0.0574,0.0083,-0.0565,0.0082,-0.058,0.0081,-0.057,0.008,-0.062,0.036,-0.0629,0.0359,-0.0985,0.038,-0.0913,0.0372,HD126525         ,216.88738,-51.93309,-0.1022,0.0059,-0.062,0.036,-0.0574,0.0083,0.0046,0.0443,0.0402,0.0419
128,hd128674  ,thin,0,0.0,5600,4.48,0.82,-0.3655,0.0066,-0.3601,0.0071,-0.3228,0.0105,-0.3188,0.011,-0.3234,0.0099,-0.3195,0.0105,-0.2298,0.0441,-0.2335,0.0428,-0.3062,0.0423,-0.2977,0.0416,HD128674         ,220.11776,-57.02956,-0.3655,0.0066,-0.2298,0.0441,-0.3228,0.0105,-0.09299999999999997,0.0546,0.1357,0.0507
129,hd134664  ,thin,0,0.0,5805,4.39,1.11,0.0723,0.0043,0.0552,0.0033,-0.0163,0.0137,-0.0146,0.0129,-0.0155,0.0139,-0.014,0.013,0.0106,0.0378,0.0062,0.0371,0.0319,0.0437,0.0227,0.0415,HD134664         ,228.04314,-30.88629,0.0723,0.0043,0.0106,0.0378,-0.0163,0.0137,-0.0269,0.051500000000000004,-0.061700000000000005,0.0421
130,hd134987  ,thin,2,1.61,5710,4.28,1.08,0.3173,0.0053,0.3102,0.0055,0.3039,0.0187,0.3014,0.0178,0.3069,0.0196,0.3035,0.0185,0.2433,0.0268,0.2397,0.0248,0.2719,0.0283,0.2717,0.0279,HD134987         ,228.36945,-25.30935,0.3173,0.0053,0.2433,0.0268,0.3039,0.0187,0.060600000000000015,0.0455,-0.07400000000000004,0.032100000000000004
131,hd140901  ,thin,0,0.0,5582,4.47,0.95,0.1255,0.0054,0.1153,0.0046,0.0827,0.0097,0.0782,0.0091,0.0809,0.0095,0.077,0.009,0.1162,0.0161,0.1116,0.0156,0.0679,0.021,0.0773,0.0193,HD140901         ,236.87125,-37.91631,0.1255,0.0054,0.1162,0.0161,0.0827,0.0097,-0.0335,0.0258,-0.009300000000000003,0.0215
132,hd145666  ,thin,0,0.0,5918,4.47,1.09,-0.0273,0.0054,-0.0377,0.005,-0.103,0.002,-0.1016,0.0019,-0.1019,0.002,-0.101,0.002,-0.0176,0.0189,-0.0274,0.0194,0.0152,0.0202,-0.0043,0.0202,HD145666         ,243.76733,-56.37454,-0.0273,0.0054,-0.0176,0.0189,-0.103,0.002,-0.08539999999999999,0.020900000000000002,0.0097,0.024300000000000002
133,hd146233  ,thin,0,0.0,5820,4.47,1.01,0.0529,0.004,0.0516,0.004,-0.0199,0.0032,-0.021,0.003,-0.0198,0.0032,-0.021,0.003,-0.0067,0.0129,-0.01,0.013,-0.0002,0.0142,-0.0057,0.0139,HD146233         ,243.90529,-8.36944,0.0529,0.004,-0.0067,0.0129,-0.0199,0.0032,-0.0132,0.0161,-0.0596,0.0169
134,hd157347  ,thin,0,0.0,5688,4.41,0.96,0.0287,0.0045,0.0302,0.0045,-0.0293,0.0046,-0.028,0.0044,-0.0299,0.0047,-0.0285,0.0045,0.0089,0.0032,0.0098,0.0035,-0.0081,0.0027,-0.0027,0.0029,HD157347         ,260.7137,-2.38818,0.0287,0.0045,0.0089,0.0032,-0.0293,0.0046,-0.0382,0.0078,-0.019799999999999998,0.0077
135,hd160691  ,thin,4,1.814,5737,4.23,1.11,0.3309,0.0058,0.3238,0.0056,0.2835,0.0084,0.2818,0.0077,0.2877,0.0095,0.2845,0.0085,0.2408,0.0149,0.237,0.015,0.2888,0.0151,0.285,0.0145,HD160691         ,266.03627,-51.83405,0.3309,0.0058,0.2408,0.0149,0.2835,0.0084,0.04269999999999999,0.0233,-0.09010000000000004,0.0207
136,hd169830  ,thin,2,4.04,6319,4.08,1.58,0.2081,0.0099,0.1474,0.0062,0.1168,0.0157,0.1016,0.0133,0.1307,0.019,0.1115,0.0155,0.0919,0.0169,0.0373,0.0093,0.3593,0.0245,0.2873,0.0232,HD169830         ,276.95619,-29.81686,0.2081,0.0099,0.0919,0.0169,0.1168,0.0157,0.024900000000000005,0.0326,-0.11620000000000001,0.026799999999999997
137,hd179949  ,thin,1,0.916,6182,4.36,1.34,0.2304,0.0118,0.1981,0.0112,0.1292,0.0144,0.1179,0.0125,0.136,0.016,0.1225,0.0135,0.1104,0.0194,0.0806,0.0147,0.256,0.0226,0.208,0.0212,HD179949         ,288.88846,-24.17935,0.2304,0.0118,0.1104,0.0194,0.1292,0.0144,0.01880000000000001,0.0338,-0.12,0.0312
138,hd183263  ,thin,2,3.95,5889,4.29,1.23,0.3157,0.0057,0.2871,0.005,0.2526,0.0081,0.2452,0.0067,0.2578,0.0095,0.2485,0.0075,0.1686,0.0179,0.1546,0.0148,0.2466,0.0203,0.2247,0.0193,HD183263         ,292.10238,8.35806,0.3157,0.0057,0.1686,0.0179,0.2526,0.0081,0.08399999999999999,0.026,-0.14709999999999998,0.0236
139,hd190248  ,thin,0,0.0,5572,4.31,0.94,0.4277,0.0077,0.4399,0.0081,0.3822,0.0411,0.382,0.0404,0.3831,0.0417,0.383,0.041,0.3453,0.0193,0.3427,0.0188,0.3268,0.0238,0.343,0.0217,HD190248         ,302.18171,-66.18207,0.4277,0.0077,0.3453,0.0193,0.3822,0.0411,0.03689999999999999,0.060399999999999995,-0.08240000000000003,0.027000000000000003
140,hd196050  ,thin,1,3.18,5862,4.22,1.16,0.266,0.0059,0.2618,0.0061,0.2322,0.0076,0.2321,0.007,0.238,0.0091,0.236,0.008,0.159,0.0159,0.1568,0.0148,0.2475,0.0164,0.235,0.0159,HD196050         ,309.46546,-60.63449,0.266,0.0059,0.159,0.0159,0.2322,0.0076,0.07319999999999999,0.0235,-0.10700000000000001,0.0218
141,hd202206  ,thin,1,17.9,5746,4.44,1.11,0.3128,0.0065,0.2855,0.0058,0.1526,0.0057,0.1486,0.0048,0.1533,0.006,0.149,0.005,0.0953,0.0276,0.0867,0.0263,0.0907,0.0287,0.088,0.0279,HD202206         ,318.7407,-20.78921,0.3128,0.0065,0.0953,0.0276,0.1526,0.0057,0.05730000000000002,0.033299999999999996,-0.21750000000000003,0.0341
142,hd203608  ,thin,0,0.0,6180,4.35,1.3,-0.6538,0.0082,-0.6642,0.0078,-0.5912,0.0086,-0.5866,0.0068,-0.5756,0.0087,-0.575,0.007,-0.4315,0.0152,-0.4521,0.0178,-0.3634,0.0106,-0.403,0.0142,HD203608         ,321.61085,-65.3662,-0.6538,0.0082,-0.4315,0.0152,-0.5912,0.0086,-0.15969999999999995,0.0238,0.22230000000000005,0.0234
143,hd206172  ,thin,0,0.0,5662,4.62,0.84,-0.1902,0.0038,-0.1873,0.0038,-0.2081,0.005,-0.2097,0.0045,-0.2095,0.0055,-0.211,0.005,-0.0504,0.0333,-0.0621,0.0328,-0.113,0.0351,-0.1113,0.0342,HD206172         ,325.11566,-2.01758,-0.1902,0.0038,-0.0504,0.0333,-0.2081,0.005,-0.1577,0.0383,0.1398,0.0371
144,hd207129  ,thin,0,0.0,5941,4.42,1.06,-0.0258,0.0053,-0.0229,0.0052,-0.1204,0.0075,-0.1141,0.0079,-0.1185,0.0077,-0.113,0.008,-0.0859,0.0099,-0.089,0.0095,-0.0457,0.0133,-0.057,0.0121,HD207129         ,327.06563,-47.30362,-0.0258,0.0053,-0.0859,0.0099,-0.1204,0.0075,-0.03449999999999999,0.0174,-0.0601,0.015200000000000002
145,hd212301  ,thin,1,0.51,6162,4.35,1.35,0.1931,0.0084,0.157,0.007,0.1158,0.0135,0.106,0.0115,0.1223,0.0151,0.1105,0.0125,0.0732,0.0111,0.0454,0.0104,0.2151,0.0112,0.167,0.0107,HD212301         ,336.87884,-77.71792,0.1931,0.0084,0.0732,0.0111,0.1158,0.0135,0.0426,0.0246,-0.11989999999999999,0.0195
146,hd213240  ,thin,1,5.58,5918,4.15,1.25,0.1523,0.0064,0.1344,0.0056,0.0871,0.0025,0.0944,0.0021,0.0935,0.0039,0.099,0.003,0.0578,0.0232,0.0573,0.0225,0.1768,0.0249,0.1573,0.0241,HD213240         ,337.75153,-49.43327,0.1523,0.0064,0.0578,0.0232,0.0871,0.0025,0.0293,0.025699999999999997,-0.0945,0.029599999999999998
147,hd216435  ,thin,1,1.26,5942,4.08,1.36,0.2987,0.0091,0.255,0.0079,0.1951,0.0139,0.1912,0.0119,0.2045,0.0161,0.1972,0.0133,0.1443,0.0141,0.1288,0.01,0.2929,0.021,0.2587,0.019,HD216435         ,343.40805,-48.59828,0.2987,0.0091,0.1443,0.0141,0.1951,0.0139,0.050799999999999984,0.027999999999999997,-0.1544,0.0232
148,hd216777  ,thin,0,0.0,5656,4.47,0.89,-0.3792,0.0068,-0.377,0.0065,-0.3602,0.0077,-0.3539,0.0085,-0.36,0.0071,-0.354,0.008,-0.2169,0.0302,-0.2209,0.0294,-0.28,0.0363,-0.276,0.0353,HD216777         ,343.95824,-7.82261,-0.3792,0.0068,-0.2169,0.0302,-0.3602,0.0077,-0.1433,0.0379,0.16229999999999997,0.037
149,hd216437  ,thin,1,2.223,5802,4.17,1.14,0.2774,0.0072,0.276,0.0065,0.2376,0.0047,0.2391,0.0049,0.2434,0.0034,0.243,0.004,0.1827,0.0205,0.1833,0.0181,0.264,0.0235,0.2567,0.0227,HD216437         ,343.66451,-70.07371,0.2774,0.0072,0.1827,0.0205,0.2376,0.0047,0.054900000000000004,0.0252,-0.09469999999999998,0.027700000000000002
150,hd222669  ,thin,0,0.0,5908,4.48,1.01,0.0754,0.0064,0.0813,0.0065,-0.0016,0.006,-0.0026,0.0059,-0.0007,0.0062,-0.002,0.006,0.0018,0.0151,-0.0011,0.0151,0.0327,0.0172,0.0223,0.0166,HD222669         ,355.98901,-82.5085,0.0754,0.0064,0.0018,0.0151,-0.0016,0.006,-0.0034000000000000002,0.0211,-0.0736,0.021500000000000002
152,bd-133442  ,unclassified,0,0.0,6357,3.97,1.5,-2.6244,0.0224,-2.6569,0.0244,-2.5386,0.0269,-2.4956,0.027,-2.2766,0.0079,-2.3304,0.0144,-1.8838,0.0383,-1.9114,0.0393,-1.9959,0.0488,-1.9894,0.0474,BD-133442        ,176.71105,-14.11207,-2.6244,0.0224,-1.8838,0.0383,-2.5386,0.0269,-0.6548000000000003,0.06520000000000001,0.7406000000000001,0.060700000000000004
153,lp635-14  ,unclassified,0,0.0,6352,4.13,1.5,-2.3198,0.0193,-2.3556,0.0203,-2.2039,0.0342,-2.1836,0.0333,-1.9911,0.0355,-2.0476,0.0343,-1.6999,0.0399,-1.7296,0.0382,-1.8018,0.0425,-1.799,0.0401,LP635-14         ,306.69513,-0.62088,-2.3198,0.0193,-1.6999,0.0399,-2.2039,0.0342,-0.504,0.0741,0.6198999999999999,0.0592
154,hd338529  ,unclassified,0,0.0,6351,4.1,1.5,-2.2188,0.0428,-2.2283,0.0449,-2.1005,0.0281,-2.0896,0.0259,-1.8885,0.0409,-1.9509,0.0343,-1.5088,0.0252,-1.5432,0.0238,-1.5865,0.0293,-1.5957,0.0272,HD338529         ,293.13296,26.39059,-2.2188,0.0428,-1.5088,0.0252,-2.1005,0.0281,-0.5916999999999999,0.0533,0.71,0.068
155,hd84937  ,unclassified,0,0.0,6340,4.05,1.5,-2.0527,0.0198,-2.0905,0.02,-2.0402,0.0367,-2.0433,0.0361,-1.8558,0.0384,-1.9156,0.0369,-1.518,0.0106,-1.5525,0.0069,-1.592,0.0058,-1.6029,0.0032,HD84937          ,147.23374,13.74426,-2.0527,0.0198,-1.518,0.0106,-2.0402,0.0367,-0.5222,0.0473,0.5347000000000002,0.030400000000000003
156,g166-54  ,unclassified,0,0.0,6381,4.25,1.5,-2.53,0.0213,-2.5646,0.0231,-2.6209,0.0588,-2.5738,0.0554,-2.3734,0.0426,-2.4253,0.0461,-1.8437,0.0202,-1.8745,0.021,-1.969,0.0279,-1.9606,0.0273,G166-54          ,223.54464,25.56359,-2.53,0.0213,-1.8437,0.0202,-2.6209,0.0588,-0.7771999999999999,0.079,0.6862999999999999,0.041499999999999995
157,g126-52  ,unclassified,0,0.0,6359,4.16,1.5,-2.16,0.02,-2.1976,0.0206,-2.1658,0.0311,-2.1538,0.0292,-1.9697,0.0379,-2.0261,0.0339,-1.6196,0.0411,-1.6505,0.0388,-1.7143,0.0442,-1.7146,0.0409,G126-52          ,331.05575,19.54843,-2.16,0.02,-1.6196,0.0411,-2.1658,0.0311,-0.5462,0.0722,0.5404000000000002,0.0611
158,g59-27  ,unclassified,0,0.0,6232,4.18,1.5,-1.8736,0.0199,-1.9248,0.02,-1.7437,0.0103,-1.7595,0.012,-1.5699,0.0138,-1.6439,0.0111,-1.1825,0.0191,-1.2253,0.0224,-1.2475,0.0254,-1.2688,0.0287,G59-27           ,189.16438,27.47449,-1.8736,0.0199,-1.1825,0.0191,-1.7437,0.0103,-0.5611999999999999,0.0294,0.6910999999999998,0.039
159,g48-29  ,unclassified,0,0.0,6471,4.21,1.5,-2.5518,0.0259,-2.5812,0.0275,-2.6693,0.0532,-2.6121,0.05,-2.3985,0.0463,-2.4482,0.0459,-1.9644,0.0927,-1.9938,0.0896,-2.0845,0.0863,-2.0765,0.0852,G48-29           ,145.18002,1.0082,-2.5518,0.0259,-1.9644,0.0927,-2.6693,0.0532,-0.7048999999999999,0.1459,0.5874000000000001,0.11860000000000001
160,g04-37  ,unclassified,0,0.0,6277,4.26,1.5,-2.3779,0.0233,-2.4201,0.0245,-2.3217,0.0409,-2.2985,0.0397,-2.1208,0.0435,-2.1766,0.0413,-1.5943,0.0061,-1.6238,0.0056,-1.7051,0.0095,-1.7003,0.0107,G04-37           ,41.1462,8.48058,-2.3779,0.0233,-1.5943,0.0061,-2.3217,0.0409,-0.7273999999999998,0.047,0.7835999999999999,0.029400000000000003
161,cs22943-0095,unclassified,0,0.0,6314,4.17,1.5,-2.1792,0.0199,-2.22,0.0211,-2.0143,0.0197,-2.0097,0.0184,-1.8198,0.0277,-1.8818,0.0231,-1.4384,0.0091,-1.4745,0.0127,-1.5207,0.0175,-1.5306,0.0199,BPS CS 22943-0095,306.87495,-46.84898,-2.1792,0.0199,-1.4384,0.0091,-2.0143,0.0197,-0.5759000000000001,0.0288,0.7407999999999999,0.029
162,cd-711234  ,unclassified,0,0.0,6315,4.18,1.5,-2.297,0.0202,-2.3362,0.0216,-2.3099,0.0509,-2.2871,0.0496,-2.112,0.048,-2.1639,0.0483,-1.7279,0.0594,-1.7565,0.0616,-1.8421,0.0756,-1.8349,0.074,CD-711234        ,241.93601,-71.35038,-2.297,0.0202,-1.7279,0.0594,-2.3099,0.0509,-0.5819999999999999,0.11030000000000001,0.5691000000000002,0.0796
163,cd-2417504  ,unclassified,0,0.0,6323,4.33,1.5,-3.1599,0.0357,-3.202,0.0387,-2.8615,0.03,-2.8043,0.0298,-2.5758,0.0314,-2.6337,0.0321,-2.5095,0.2,-2.5396,0.2,-2.6886,0.2,-2.6676,0.2,CD-2417504       ,346.83439,-23.87665,-3.1599,0.0357,-2.5095,0.2,-2.8615,0.03,-0.35199999999999987,0.23,0.6503999999999999,0.23570000000000002
164,lp815-43  ,unclassified,0,0.0,6461,4.11,1.5,-2.681,0.0229,-2.7093,0.0249,-2.587,0.0393,-2.5308,0.0391,-2.2963,0.0375,-2.352,0.0357,-2.0552,0.0501,-2.0809,0.0512,-2.1767,0.0646,-2.1663,0.0625,LP815-43         ,309.55542,-20.43635,-2.681,0.0229,-2.0552,0.0501,-2.587,0.0393,-0.5318,0.08940000000000001,0.6257999999999999,0.073
165,hd215801  ,unclassified,0,0.0,6054,3.85,1.5,-2.2028,0.0202,-2.2519,0.0208,-2.2364,0.0484,-2.2323,0.0482,-2.0724,0.0423,-2.1287,0.0451,-1.5361,0.0206,-1.5579,0.0231,-1.6336,0.0308,-1.6323,0.0316,HD215801         ,342.12261,-46.06404,-2.2028,0.0202,-1.5361,0.0206,-2.2364,0.0484,-0.7003000000000001,0.069,0.6666999999999998,0.0408
166,hd188031  ,unclassified,0,0.0,6192,4.21,1.5,-1.6385,0.0183,-1.6969,0.017,-1.6741,0.0199,-1.6973,0.0208,-1.5012,0.0199,-1.5829,0.0173,-1.0609,0.0199,-1.1019,0.022,-1.1195,0.0257,-1.1401,0.0276,HD188031         ,298.7444,-42.64539,-1.6385,0.0183,-1.0609,0.0199,-1.6741,0.0199,-0.6132,0.0398,0.5776000000000001,0.0382
167,hd181743  ,unclassified,0,0.0,5971,4.42,1.3,-1.7896,0.021,-1.8494,0.0204,-1.6836,0.0164,-1.7184,0.0169,-1.5674,0.0181,-1.6442,0.016,-1.1162,0.0068,-1.1449,0.0056,-1.235,0.0093,-1.2336,0.0112,HD181743         ,290.92811,-45.08248,-1.7896,0.021,-1.1162,0.0068,-1.6836,0.0164,-0.5673999999999999,0.023200000000000002,0.6734,0.027800000000000002
168,hd160617  ,unclassified,0,0.0,6005,3.9,1.5,-1.6947,0.0136,-1.7149,0.0148,-1.7709,0.0202,-1.8019,0.015,-1.6124,0.0343,-1.6959,0.0235,-1.3215,0.0074,-1.3382,0.0033,-1.4003,0.0026,-1.4035,0.0035,HD160617         ,265.70551,-40.32097,-1.6947,0.0136,-1.3215,0.0074,-1.7709,0.0202,-0.4494,0.0276,0.3732000000000002,0.020999999999999998
